"year","mean_temperature"
1971,14
1974,15
1975,21.5714285714286
1976,17.2222222222222
1977,18.5416666666667
1978,17.7708333333333
1979,17.5
1980,18.25
1981,17.5416666666667
1982,18.0833333333333
1983,18.6666666666667
1984,16.1666666666667
1985,17.1666666666667
1986,20.0208333333333
1987,19.2796296296296
1988,17.837037037037
1989,18.1798611111111
1990,18.6590277777778
1991,19.5628703703704
1992,18.7637152777778
1993,19.7231481481481
1994,19.5427083333333
1995,20.2092592592593
1996,18.2203703703704
1997,19.1378472222222
1998,19.3516666666667
1999,19.3194444444444
2000,17.4333333333333
2001,19.10625
2002,19.0345833333333
2003,19.7125
2004,19.9625
2005,19.4833333333333
2006,17.9833333333333
2007,20.15
2008,20.3895833333333
2009,20.0548611111111
2010,19.6505555555556
2011,19.415625
2012,21.0256944444444
2013,18.1774801587302
2014,19.3597222222222
2015,19.7430555555556
2016,20.25
2017,19.9594903472222
2018,18.7304166666667
2019,18.8583333333333
2020,12.5666666666667
