"","year","mean_pH"
"1",1971,NA
"2",1972,NA
"3",1973,NA
"4",1974,6.7
"5",1975,NA
"6",1976,NA
"7",1977,7.3
"8",1978,7.26875
"9",1979,6.93958333333333
"10",1980,7.06041666666667
"11",1981,7.08836805555556
"12",1982,6.81041666666667
"13",1983,6.96590277777778
"14",1984,7.18784722222222
"15",1985,7.13527182539683
"16",1986,7.12916666666667
"17",1987,7.03368055555556
"18",1988,6.99027777777778
"19",1989,6.97361111111111
"20",1990,6.94861111111111
"21",1992,7.19583333333333
"22",1993,7.09194444444444
"23",1994,7.49416666666667
"24",1995,7.36805555555556
"25",1996,7.025
"26",1997,7.16431277056277
"27",1998,7.21791666666667
"28",1999,7.31137152777778
"29",2000,7.28950892857143
"30",2001,7.43847966269841
"31",2002,7.27770337301587
"32",2003,6.96762367724868
"33",2004,7.38798115079365
"34",2005,7.2756712962963
"35",2006,7.21642113095238
"36",2007,7.30512896825397
"37",2008,7.39389880952381
"38",2009,7.33996663059163
"39",2010,7.27239087301587
"40",2011,7.57450113378685
"41",2012,7.49298611111111
"42",2013,7.51245287698413
"43",2014,7.25572916666667
"44",2015,7.3418039021164
"45",2016,7.29713955026455
"46",2017,7.31970127618221
"47",2018,7.14343731765873
"48",2020,6.95416666666667
