"year","mean_temperature"
1971,16.5072916666667
1972,17.4712962962963
1973,19.6854166666667
1974,19.4433641975309
1975,16
1976,17.25
1977,18.890625
1978,18.1328125
1979,16.8020833333333
1980,17.0208333333333
1981,15.2763047138047
1982,16.7176851851852
1983,17.8891975308642
1984,16.9448412698413
1985,19.2731533564815
1986,19.1053240740741
1987,17.6041666666667
1988,17.4016203703704
1989,15.9091746794872
1990,17.8068147130647
1992,18.8213141025641
1993,18.5223901098901
1994,18.0996336996337
1995,17.9653540903541
1996,15.9103785103785
1997,18.1884424603175
1998,18.534255952381
1999,17.5022569444444
2000,17.5738095238095
2001,17.7144965277778
2002,18.4237103174603
2003,16.6049553571429
2004,17.6564285714286
2005,17.9439566798942
2006,17.2485515873016
2007,17.1393402777778
2008,17.8317113095238
2009,17.9200793650794
2010,18.4011135912698
2011,17.6322321428571
2012,19.9460342261905
2013,17.4527703373016
2014,18.2690203373016
2015,18.7935648148148
2016,17.8483697089947
2017,18.5228567559028
2018,18.6075754507937
2020,10.8169642857143
