Year,Annual Average Flow (m3/s)
1974,54.56359074
1975,127.1338051
1976,54.10918465
1977,60.41012938
1978,102.4933114
1979,137.3379255
1980,55.83612586
1981,18.18558515
1982,72.48110131
1983,77.62660913
1984,85.25096684
1985,63.63446182
1986,40.48053446
1987,80.17413283
1988,36.16357737
1989,93.37025658
1990,60.48526518
1991,36.41615902
1992,49.48058831
1993,66.73169894
1994,52.56085102
1995,30.89077068
1996,101.4975383
1997,55.7118187
1998,79.71020108
1999,90.53351621
2000,75.30175397
2001,30.1414221
2002,32.62228913
2003,150.6198699
2004,105.3489682
2005,44.96829382
2006,83.09885854
2007,31.24252885
2008,38.10375855
2009,64.17677403
2010,56.35640677
2011,50.70711508
2012,34.27115978
2013,70.6320191
2014,56.17292643
2015,62.43651084
2016,64.40187773
2017,33.86002419
2018,75.67374986
2019,68.14381186
