Year,Annual Average Flow (m3/s)
1974,124.5632123
1975,160.6952529
1976,77.09382678
1977,88.93810969
1978,140.3004175
1979,161.4437327
1980,94.58740742
1981,52.79938517
1982,129.0265488
1983,147.154856
1984,170.3809331
1985,78.26475336
1986,43.84378707
1987,123.0861891
1988,56.63243531
1989,203.6499259
1990,102.3028818
1991,88.52854892
1992,101.1448856
1993,119.3199356
1994,79.59035197
1995,148.3119746
1996,177.6967526
1997,89.19767816
1998,162.631174
1999,196.6715144
2000,104.1220499
2001,69.72228219
2002,73.81713092
2003,184.0579498
2004,101.7254079
2005,82.64872861
2006,113.8548243
2007,64.53696335
2008,74.97705181
2009,96.64066425
2010,107.8511098
2011,56.24935943
2012,65.52386723
2013,118.8286589
2014,167.5113691
2015,159.7890801
2016,176.808145
2017,91.22112142
2018,178.2694433
2019,127.9552949
2020,183.0225136
