"","year","mean_dissolvedoxygen"
"1",1974,7.78932291666667
"2",1975,7.73029220779221
"3",1976,9
"4",1977,9.13496527777778
"5",1978,9.92954282407407
"6",1979,9.42036623677249
"7",1980,10.2322619047619
"8",1981,8.665
"9",1982,8.61046176046176
"10",1983,9.00482026143791
"11",1984,8.30116657239819
"12",1985,9.02247753267974
"13",1986,8.38382352941176
"14",1987,7.97652972027972
"15",1988,8.24774023430273
"16",1989,7.49034457812504
"17",1990,7.5192064556891
"18",1991,6.92360714936193
"19",1992,7.25386813700731
"20",1993,7.78513239367649
"21",1994,7.31423858271675
"22",1996,7.56462115971274
"23",1997,8.24019135802469
"24",1998,8.04638822751323
"25",1999,7.96623657776972
"26",2000,8.20321306818182
"27",2001,8.16044645908273
"28",2002,7.60557074444231
"29",2003,7.95574672916448
"30",2004,7.96432169147464
"31",2005,8.38838018371879
"32",2006,7.56408999006511
"33",2007,8.32912782806149
"34",2008,7.88318353500322
"35",2009,8.01920443242988
"36",2010,8.25732618074359
"37",2011,8.11131825535092
"38",2012,7.43056901927438
"39",2013,7.94246560616116
"40",2014,8.4799716553288
"41",2015,7.99877431199753
"42",2016,8.00541695713571
"43",2017,8.05483906255803
"44",2018,8.44328016219951
"45",2019,8.07796647652116
"46",2020,9.57777432712215
