"year","mean_temperature"
1974,18.4854910714286
1975,18.2276244588745
1976,19.3333333333333
1977,18.3013888888889
1978,16.0925925925926
1979,16.5582010582011
1980,17.7875
1981,17.35
1982,17.1927655677656
1983,18.9818355119826
1984,18.2655731523379
1985,18.5549064996369
1986,19.6724598930481
1987,18.3512529137529
1988,17.4767743573299
1989,18.6991867340323
1990,18.74654174085
1991,19.0892384971839
1992,17.9506154050159
1993,19.4391865007733
1994,19.7748288379932
1996,18.0937912129958
1997,18.7767718253968
1998,18.7269695767196
1999,18.0378042918953
2000,16.936328475391
2001,17.6395266971614
2002,18.6719727400125
2003,17.9136807085829
2004,18.0944341616071
2005,18.1333566463442
2006,18.6073044067273
2007,18.6462363399752
2008,18.6874475928294
2009,18.3810452696
2010,18.7216461186952
2011,18.7365504535147
2012,18.76995819161
2013,17.6659769232896
2014,17.6185331632653
2015,18.8493944912561
2016,18.5022070508008
2017,19.6151915344334
2018,17.7637539558306
2019,20.0073288690476
2020,11.4734989648033
