Year,Annual Average Flow m3 per s
1974,282.6135108
1975,383.5201844
1976,212.3086544
1977,161.8966648
1978,372.9971849
1979,416.8925091
1980,230.416613
1981,98.10691528
1982,241.2205715
1983,299.7255136
1984,317.8640892
1985,233.33048
1986,131.9085334
1987,384.779923
1988,146.5998538
1989,338.9204495
1990,331.6838372
1991,245.9485837
1992,229.9525933
1993,344.8008985
1994,274.2855797
1995,256.8255151
1996,398.0086363
1997,265.3682225
1998,339.6084586
1999,165.6189925
2000,179.7256927
2001,141.5628459
2002,118.5538198
2003,517.0889018
2004,280.2113468
2005,216.6473391
2006,190.0532419
2007,179.0865326
2008,132.1830469
2009,255.6730783
2010,275.7548287
2011,156.4547461
2012,135.5474047
2013,241.4795461
2014,245.2571216
2015,250.0472877
2016,327.2753378
2017,222.2869417
2018,75.67374986
2019,68.14381186
