"","year","mean_pH"
"1",1975,7.05833333333333
"2",1976,6.57157738095238
"3",1977,7.45
"4",1978,6.28333333333333
"5",1979,6.48333333333333
"6",1980,7.35895833333333
"7",1981,7.72875
"8",1982,7.42239583333333
"9",1983,7.23888888888889
"10",1984,7.309375
"11",1985,8.20833333333333
"12",1986,7.75590277777778
"13",1987,7.79810606060606
"14",1988,7.62708333333333
"15",1989,7.63785714285714
"16",1990,7.84879807692308
"17",1991,7.63566666666667
"18",1992,7.39978693181818
"19",1993,7.60659722222222
"20",1994,7.48541666666667
"21",1995,7.33541666666667
"22",1996,7.20177696078431
"23",1997,7.64345238095238
"24",1998,7.61388465447155
"25",1999,7.68299887265512
"26",2000,7.45403121184371
"27",2001,7.61571694734805
"28",2002,7.80952380952381
"29",2003,7.50079212844558
"30",2004,7.52800925925926
"31",2005,7.57800925925926
"32",2006,7.49560185185185
"33",2007,7.56851851851852
"34",2008,7.48449074074074
"35",2009,7.39189814814815
"36",2010,7.60601851851852
"37",2011,7.50090550108933
"38",2012,7.51701388888889
"39",2013,7.66365740740741
"40",2014,7.46180555555556
"41",2015,7.29821623093682
"42",2016,7.26281318082789
"43",2017,7.39241084149832
"44",2018,7.125625
"45",2019,7.69270833333333
"46",2020,7.54444444444444
