"year","mean_temperature"
1975,21.375
1976,17.2126623376623
1977,3.75
1978,17.9666666666667
1979,16.9166666666667
1980,21.125
1981,18.6458333333333
1982,19.0555555555556
1983,18.6111111111111
1984,17.9340277777778
1985,17.9583333333333
1986,19.8030257936508
1987,19.8175213675214
1988,18.6318865740741
1989,19.4862880291005
1990,21.2423032407407
1991,20.058811026936
1992,19.5397569444444
1993,21.5366512345679
1994,21.019208511396
1995,20.3597222222222
1996,18.6195759218648
1997,19.447749732906
1998,20.7426301594747
1999,18.6383548881674
2000,18.0972413003663
2001,19.8335135985288
2002,21.4529761904762
2003,18.0493702342048
2004,19.6490740740741
2005,19.4979166666667
2006,19.1701388888889
2007,21.3155092592593
2008,21.0743055555556
2009,19.8828703703704
2010,19.8564814814815
2011,19.9894675925926
2012,20.9641203703704
2013,19.375
2014,19.5199074074074
2015,19.6445601851852
2016,20.5324074074074
2017,20.0068418106061
2018,19.3335416666667
2019,20.2293402777778
2020,12.5333333333333
