"Year","BeaufortSLR"
1953,-0.0995833333333333
1954,-0.1025
1955,-0.0550833333333333
1956,-0.0910833333333333
1957,-0.06275
1958,-0.101
1959,-0.12525
1960,-0.0603333333333333
1961,-0.0939166666666667
1962,-0.099
1964,-0.123333333333333
1965,-0.107
1966,-0.09975
1967,-0.0965
1968,-0.095
1973,-0.01825
1974,-0.037
1975,-0.0255
1976,-0.105083333333333
1977,-0.0860833333333333
1978,-0.05
1979,-0.0809166666666667
1980,-0.0785
1981,-0.0776666666666667
1982,-0.06325
1983,0.011
1984,-0.00825
1985,-0.0145
1986,-0.000916666666666665
1987,-0.0174166666666667
1988,-0.0528333333333333
1989,-0.047
1990,-0.0395
1991,0.00808333333333333
1992,0.02375
1993,0.0155
1994,-0.01825
1995,0.0231666666666667
1996,-0.00333333333333333
1997,0.0335
1998,0.0328333333333333
1999,0.0491666666666667
2000,0.0195833333333333
2001,-0.01125
2002,0.00891666666666667
2003,0.00366666666666667
2004,-0.0104166666666667
2005,0.0641666666666667
2006,0.02125
2007,0.02175
2008,0.01975
2009,0.0633333333333333
2010,0.0538333333333333
2011,0.0501666666666667
2012,0.0871666666666667
2013,0.0584166666666667
2014,0.119083333333333
2015,0.101
2016,0.142833333333333
2017,0.104666666666667
2018,0.1165
2019,0.17
2020,0.149083333333333
2021,0.149583333333333
2022,0.16225
2023,0.185666666666667
