"","year","season","n_scw","n_tsw","buoy"
"1",2008,"fall",0,0,"beauf"
"2",2009,"fall",0,0,"beauf"
"3",2009,"spring",0,0,"beauf"
"4",2009,"summer",0,0,"beauf"
"5",2009,"winter",0,0,"beauf"
"6",2010,"fall",0,0,"beauf"
"7",2010,"spring",0,0,"beauf"
"8",2010,"summer",1,0,"beauf"
"9",2010,"winter",0,0,"beauf"
"10",2011,"fall",1,0,"beauf"
"11",2011,"spring",0,0,"beauf"
"12",2011,"summer",1,0,"beauf"
"13",2011,"winter",0,0,"beauf"
"14",2012,"fall",1,0,"beauf"
"15",2012,"spring",0,0,"beauf"
"16",2012,"summer",0,0,"beauf"
"17",2012,"winter",0,0,"beauf"
"18",2013,"fall",0,0,"beauf"
"19",2013,"spring",0,0,"beauf"
"20",2013,"summer",0,0,"beauf"
"21",2013,"winter",0,0,"beauf"
"22",2014,"fall",1,0,"beauf"
"23",2014,"spring",1,0,"beauf"
"24",2014,"summer",0,0,"beauf"
"25",2014,"winter",1,0,"beauf"
"26",2015,"fall",0,0,"beauf"
"27",2015,"spring",0,0,"beauf"
"28",2015,"summer",0,0,"beauf"
"29",2015,"winter",1,0,"beauf"
"30",2016,"fall",2,0,"beauf"
"31",2016,"spring",0,0,"beauf"
"32",2016,"summer",0,0,"beauf"
"33",2016,"winter",1,0,"beauf"
"34",2017,"fall",0,0,"beauf"
"35",2017,"spring",0,0,"beauf"
"36",2017,"summer",1,0,"beauf"
"37",2017,"winter",0,0,"beauf"
"38",2018,"fall",1,0,"beauf"
"39",2018,"spring",0,0,"beauf"
"40",2018,"summer",2,0,"beauf"
"41",2018,"winter",0,0,"beauf"
"42",2019,"fall",2,0,"beauf"
"43",2019,"spring",0,0,"beauf"
"44",2019,"summer",0,0,"beauf"
"45",2019,"winter",0,0,"beauf"
"46",2020,"fall",0,0,"beauf"
"47",2020,"spring",0,0,"beauf"
"48",2020,"summer",0,0,"beauf"
"49",2020,"winter",0,0,"beauf"
"50",2021,"fall",1,0,"beauf"
"51",2021,"spring",0,0,"beauf"
"52",2021,"summer",0,0,"beauf"
"53",2021,"winter",0,0,"beauf"
"54",2022,"fall",0,0,"beauf"
"55",2022,"spring",1,0,"beauf"
"56",2022,"summer",0,0,"beauf"
"57",2022,"winter",1,0,"beauf"
"58",2023,"spring",0,0,"beauf"
"59",2023,"summer",0,0,"beauf"
"60",2023,"winter",0,0,"beauf"
"61",1995,"fall",6,0,"duck"
"62",1996,"fall",15,0,"duck"
"63",1996,"spring",3,0,"duck"
"64",1996,"summer",6,0,"duck"
"65",1996,"winter",16,0,"duck"
"66",1997,"fall",5,0,"duck"
"67",1997,"spring",10,0,"duck"
"68",1997,"summer",2,0,"duck"
"69",1997,"winter",5,0,"duck"
"70",1998,"fall",7,0,"duck"
