Year,SppRichness,shannonwiener,CPUE
1986,7.397058824,1.002308895,19503.1042
1987,7.480582524,0.923701208,24249.72908
1988,8.105263158,0.974444897,35348.0616
1989,7.830097087,1.006497452,28239.60015
1990,8.383495146,0.996436845,29920.60508
1991,8.053140097,1.102104491,16944.0868
1992,7.557142857,1.01071136,24568.17442
1993,7.682926829,0.933077591,34313.46186
1994,8.4,1.06269194,26885.93811
1995,8.594202899,1.153747074,24574.95626
1996,8.558252427,0.978658007,40713.22733
1997,7.805825243,1.050433779,25370.10416
1998,7.697115385,1.049700967,22247.24023
1999,8.932038835,1.060100155,32913.50598
2000,8.679425837,1.260039358,21847.60929
2001,8.674641148,1.070234947,34129.54627
2002,9.134615385,1.154271136,25714.25442
2003,7.951690821,1.105884201,21923.34357
2004,7.990338164,1.06342355,23852.84958
2005,7.685990338,1.035530634,25597.04203
2006,7.661835749,1.086458498,17843.36382
2007,7.639423077,1.134559521,19755.12528
2008,8.620192308,1.095584827,38373.26967
2009,7.927884615,1.024376277,21420.18574
2010,8.442307692,1.170249755,35420.31715
2011,7.75,1.165135311,14827.18591
2012,7.990384615,1.154725929,17719.90538
2013,7.980769231,1.137955367,16774.79411
2014,7.579710145,1.146734461,18286.83988
2015,7.927536232,1.157050633,19083.33608
2016,6.062801932,1.091153548,9576.882022
2017,6.817307692,1.111741829,11352.94375
2018,7.17961165,1.05510765,18483.97727
2019,6.487922705,1.130331762,11371.47448
2020,6.512195122,1.122062985,11171.06506
2021,6.403846154,1.060849427,16223.27843
