Year,CPUE_Summer,CPUE_Fall,MPUE_Summer,MPUE_Fall,CrabCPUE_Summer,CrabCPUE_Fall,CrabMPUE_Summer,CrabMPUE_Fall,FishCPUE_Summer,FishCPUE_Fall,FishMPUE_Summer,FishMPUE_Fall,SppRichness_Summer,SppRichness_Fall,DtoPBioMRatio_Summer,DtoPBioMRatio_Fall,shannonwiener_Summer,shannonwiener_Fall,NonShrimpInvertCPUE_Summer,NonShrimpInvertCPUE_Fall
1987,446.3937001,204.6054625,23.04029226,9.514803245,47.08497003,14.10280124,2.155834471,0.899950724,198.5330278,102.2006832,10.54075617,4.528060405,14.40384615,13.84313725,84.04718688,93.9608614,1.607506969,1.555652596,43.70544177,12.12973327
1988,479.2660044,461.7772542,13.58624727,14.97401935,19.21821168,15.535873,1.061137669,0.628818729,242.9865677,239.3022292,6.390997091,7.636199321,12.48,18.80769231,159.2683235,37.10153638,1.320510103,1.799947354,17.24613687,10.27154023
1989,472.8848493,364.864578,18.21442093,14.09738493,29.02909351,9.752018299,1.564131983,0.642848364,231.9917357,191.6081241,8.461487302,7.137165394,12.83673469,18.42307692,109.8980277,80.93024794,1.355852398,1.677170679,27.38515782,7.766472231
1990,967.6070207,472.825837,20.40199327,10.28419331,87.35116441,17.7727849,3.817515219,0.719185478,438.2980457,242.8044847,7.345101103,4.952221016,13.49019608,18.60416667,108.4554166,125.9218984,1.044298952,1.66215093,86.65245065,14.7144192
1991,671.6004415,307.3613551,19.05751654,9.187097347,102.1979483,11.76046018,4.553402783,0.717028126,270.4864309,159.0650587,6.055058508,4.426280033,14,16.2244898,85.87022422,30.4830629,1.411871373,1.639701165,88.58564404,10.37052468
1992,255.0772627,516.3148455,9.465154535,19.01600437,42.20696948,17.1911455,1.940844459,0.855895698,98.5641468,268.8252688,3.282750759,9.692081434,12.26,18.35416667,354.0490632,80.38699907,1.509444977,1.608576105,33.28488099,12.56341096
1993,783.3614682,670.912736,27.26403494,16.9815742,32.85746268,15.6786072,1.460974654,0.641405995,391.6553415,362.9493285,13.47192819,8.952293314,13.17647059,14.26530612,251.4600526,38.01036043,1.246482687,1.196304809,30.65382696,8.13062907
1994,433.0408389,656.9128515,20.76429362,19.39385974,27.13087633,30.2584308,1.68853462,1.101408305,208.3707951,334.2496314,9.731460982,9.67343577,10.82,20.15217391,674.8855023,135.9885014,1.332091038,1.603830067,24.58295132,16.3813826
1995,549.8344371,529.7900617,23.33339975,17.58203811,25.23037489,37.79745309,0.954210099,0.974230753,278.2102637,254.5811682,11.92294208,8.728880788,12.8,20.59183673,168.1351695,419.4784228,1.229596186,1.82753816,16.54410869,9.721298575
1996,435.7007704,742.0991575,13.37115376,25.20587241,19.7174376,38.09580496,0.845942959,1.901284612,216.9174012,371.004859,6.521981426,11.99335759,11.24489796,18.40816327,525.2772393,149.6399103,1.308448684,1.605536621,19.35328076,19.92120328
1997,527.1357616,417.0750552,14.4134547,13.81234,32.79583254,23.84763826,0.996496253,0.984002895,249.7782445,206.3262333,6.86618766,6.638701299,12.06,16.26,137.2519613,56.10980687,1.387692677,1.557423542,31.89431263,12.673739
