YEAR,Mean_CPUE
1990,35.10896092
1991,16.638733
1992,11.17000475
1993,30.06348061
1994,35.26959566
1995,35.25075717
1996,50.34853282
1997,14.45909702
1998,26.95246874
1999,39.63339033
2000,26.59676069
2001,24.33373469
2002,18.27108607
2003,28.16660181
2004,44.13320424
2005,41.6460794
2006,41.22358391
2007,15.23660948
2008,30.83729646
2009,23.16341214
2010,41.55064603
2011,46.96469459
2012,75.23566758
2013,40.54305363
2014,30.66848663
2015,74.71982161
2016,94.48860435
2017,61.42241311
2018,72.24980832
2019,40.21884785
