YEAR,Richness
1990,39.17857143
1991,37.5952381
1992,31.77380952
1993,29.73809524
1994,31.96428571
1995,35.4047619
1996,35.4047619
1997,28.01190476
1998,32.07142857
1999,31.27380952
2000,29.01190476
2001,29.9
2002,27.28571429
2003,26.98095238
2004,26.6547619
2005,23.3952381
2006,22.49047619
2007,22.23650794
2008,23.94444444
2009,26.75238095
2010,24.91428571
2011,30.96666667
2012,33.26111111
2013,30.94761905
2014,27.11904762
2015,30.57063492
2016,32.3047619
2017,32.08095238
2018,29.84920635
2019,31.12519841
