YEAR,ShannonDiversity
1990,2.089580592
1991,1.98114474
1992,1.796364464
1993,1.993892283
1994,1.725740934
1995,2.001876812
1996,2.079339957
1997,1.777370712
1998,1.984299207
1999,1.884523962
2000,1.76662442
2001,1.637268003
2002,1.784885029
2003,1.870607008
2004,1.855164969
2005,1.829966414
2006,1.752808071
2007,1.825906795
2008,1.959868728
2009,1.822734126
2010,1.680056664
2011,1.797694692
2012,1.982136411
2013,1.877158682
2014,1.657032494
2015,1.743644998
2016,1.856195538
2017,1.899084026
2018,1.644775123
2019,1.709106855
