"","YEAR","CPUE"
"1",1990,0.000773993808049536
"2",1991,0.000564971751412429
"3",1992,0
"4",1993,0
"5",1994,0
"6",1995,0.0010752688172043
"7",1996,0
"8",1997,0
"9",1998,0
"10",1999,0
"11",2000,0
"12",2001,0
"13",2002,0
"14",2003,0
"15",2004,0.00372736954206603
"16",2005,0.000547045951859956
"17",2006,0.0119589977220957
"18",2007,0.000553403431101273
"19",2008,0
"20",2009,0.0162866449511401
"21",2010,0.0821114369501466
"22",2011,0.172060409924488
"23",2012,0.245547073791349
"24",2013,0.261255924170616
"25",2014,0.241212121212121
"26",2015,0.553010122535962
"27",2016,0.997862105825762
"28",2017,0.932275777913362
"29",2018,1.71584104518236
"30",2019,2.22301729278473
