Year,Month,Monthly_MSL
1935,5,-0.18
1935,6,-0.173
1935,7,-0.174
1935,8,-0.225
1935,9,-0.103
1935,10,-0.235
1935,11,-0.082
1935,12,-0.169
1936,1,0.005
1936,2,-0.022
1936,3,-0.057
1936,4,0.004
1936,5,-0.214
1936,6,-0.076
1936,7,-0.138
1936,8,-0.152
1936,9,-0.203
1936,10,-0.095
1936,11,-0.198
1936,12,-0.011
1937,1,-0.001
1937,2,0.094
1937,3,-0.13
1937,4,-0.026
1937,5,-0.074
1937,6,-0.152
1937,7,-0.15
1937,8,-0.118
1937,9,-0.142
1937,10,-0.186
1937,11,-0.213
1937,12,-0.163
1938,1,-0.113
1938,2,-0.211
1938,3,-0.185
1938,4,-0.13
1938,5,-0.113
1938,6,-0.106
1938,7,-0.119
1938,8,-0.133
1938,9,-0.145
1938,10,-0.086
1938,11,-0.079
1938,12,-0.087
1939,1,-0.104
1939,2,-0.012
1939,3,0.048
1939,4,-0.142
1939,5,-0.083
1939,6,-0.143
1939,7,-0.086
1939,8,-0.088
1939,9,-0.094
1939,10,-0.201
1939,11,-0.213
1939,12,-0.218
1940,1,-0.226
1940,2,-0.122
1940,3,-0.154
1940,4,-0.172
1940,5,-0.116
1940,6,-0.133
1940,7,-0.211
1940,8,-0.051
1940,9,-0.173
1940,10,-0.183
1940,11,-0.17
1940,12,-0.184
1941,1,-0.144
1941,2,-0.198
1941,3,-0.233
1941,4,-0.151
1941,5,-0.235
1941,6,-0.164
1941,7,-0.113
1941,8,-0.228
1941,9,-0.267
1941,10,-0.265
1941,11,-0.213
1941,12,-0.227
1942,1,-0.208
1942,2,-0.134
1942,3,-0.124
1942,4,-0.16
1942,5,-0.11
1942,6,-0.133
1942,7,-0.144
1942,8,-0.075
1942,9,-0.127
1942,10,-0.016
1942,11,-0.167
1942,12,-0.151
1943,1,-0.092
1943,2,-0.153
1943,3,-0.148
1943,4,-0.05
1943,5,-0.104
1943,6,-0.076
1943,7,0.039
1943,8,-0.112
1943,9,-0.17
1943,10,-0.11
1943,11,-0.173
1943,12,-0.166
1944,1,-0.059
1944,2,-0.043
1944,3,0.027
1944,4,0.014
1944,5,-0.101
1944,6,-0.112
1944,7,-0.04
1944,8,-0.081
1944,9,-0.194
1944,10,-0.058
1944,11,-0.112
1944,12,-0.154
1945,1,-0.12
1945,2,-0.183
1945,3,-0.185
1945,4,-0.169
1945,5,-0.147
1945,6,-0.127
1945,7,0.005
1945,8,-0.014
1945,9,0.156
1945,10,-0.025
1945,11,-0.1
1945,12,0.081
1946,1,0.03
1946,2,-0.028
1946,3,-0.118
1946,4,-0.075
1946,5,-0.028
1946,6,-0.106
1946,7,0.005
1946,8,-0.027
1946,9,-0.078
1946,10,0.048
1946,11,0.01
1946,12,-0.084
1947,1,-0.016
1947,2,-0.162
1947,3,-0.176
1947,4,-0.136
1947,5,-0.153
1947,6,-0.085
1947,7,-0.089
1947,8,-0.136
1947,9,-0.014
1947,10,-0.031
1947,11,0.214
1947,12,0.059
1948,1,-0.001
1948,2,0.189
1948,3,0.072
1948,4,-0.023
1948,5,-0.031
1948,6,-0.005
1948,7,-0.077
1948,8,-0.127
1948,9,-0.088
1948,10,-0.016
1948,11,0.049
1948,12,0.102
1949,1,-0.065
1949,2,-0.04
1949,3,-0.136
1949,4,-0.114
1949,5,0.002
1949,6,-0.048
1949,7,-0.007
1949,8,-0.045
1949,9,-0.017
1949,10,-0.055
1949,11,-0.066
1949,12,-0.163
1950,1,-0.196
1950,2,-0.128
1950,3,-0.148
1950,4,-0.118
1950,5,-0.071
1950,6,-0.149
1950,7,-0.034
1950,8,-0.088
1950,9,-0.136
1950,10,-0.14
1950,11,-0.182
1950,12,-0.148
1951,1,-0.18
1951,2,-0.195
1951,3,-0.105
1951,4,-0.096
1951,5,-0.126
1951,6,-0.091
