Year,Month,Monthly_MSL
1953,1,-0.076
1953,2,-0.165
1953,3,-0.115
1953,4,-0.108
1953,5,-0.128
1953,6,-0.106
1953,7,-0.102
1953,8,-0.076
1953,9,-0.076
1953,10,-0.045
1953,11,-0.071
1953,12,-0.127
1954,1,-0.082
1954,2,-0.052
1954,3,-0.151
1954,4,-0.102
1954,5,-0.046
1954,6,-0.057
1954,7,-0.038
1954,8,-0.122
1954,9,-0.149
1954,10,-0.139
1954,11,-0.116
1954,12,-0.176
1955,1,-0.027
1955,2,-0.092
1955,3,-0.121
1955,4,-0.054
1955,5,-0.043
1955,6,-0.026
1955,7,-0.062
1955,8,0.058
1955,9,-0.039
1955,10,-0.024
1955,11,-0.098
1955,12,-0.133
1956,1,0.022
1956,2,-0.098
1956,3,-0.115
1956,4,-0.09
1956,5,-0.122
1956,6,-0.109
1956,7,-0.16
1956,8,-0.103
1956,9,-0.121
1956,10,-0.002
1956,11,-0.065
1956,12,-0.13
1957,1,-0.106
1957,2,-0.025
1957,3,0.041
1957,4,-0.148
1957,5,-0.079
1957,6,-0.081
1957,7,-0.056
1957,8,-0.03
1957,9,-0.112
1957,10,-0.039
1957,11,-0.055
1957,12,-0.063
1958,1,-0.048
1958,2,-0.159
1958,3,-0.026
1958,4,-0.017
1958,5,-0.122
1958,6,-0.103
1958,7,-0.19
1958,8,-0.152
1958,9,-0.164
1958,10,-0.024
1958,11,-0.129
1958,12,-0.078
1959,1,-0.14
1959,2,-0.159
1959,3,-0.142
1959,4,-0.114
1959,5,-0.165
1959,6,-0.084
1959,7,-0.129
1959,8,-0.152
1959,9,-0.149
1959,10,-0.121
1959,11,-0.043
1959,12,-0.105
1960,1,-0.042
1960,2,-0.028
1960,3,-0.081
1960,4,-0.084
1960,5,-0.052
1960,6,-0.008
1960,7,-0.029
1960,8,-0.058
1960,9,-0.033
1960,10,-0.045
1960,11,-0.119
1960,12,-0.145
1961,1,-0.109
1961,2,-0.074
1961,3,-0.02
1961,4,-0.054
1961,5,-0.098
1961,6,-0.16
1961,7,-0.126
1961,8,-0.131
1961,9,-0.106
1961,10,-0.103
1961,11,-0.037
1961,12,-0.109
1962,1,-0.152
1962,2,-0.046
1964,7,-0.166
1964,8,-0.131
1964,9,-0.073
1965,1,-0.079
1965,2,-0.098
1965,3,-0.13
1965,4,-0.075
1965,5,-0.153
1966,1,-0.027
1966,2,-0.104
1966,3,-0.1
1966,4,-0.118
1966,5,-0.092
1966,6,-0.081
1966,7,-0.077
1966,8,-0.146
1966,9,-0.1
1966,10,-0.17
1966,11,-0.125
1966,12,-0.057
1967,1,-0.121
1967,2,-0.143
1967,3,-0.158
1967,4,-0.081
1967,5,-0.052
1967,6,-0.057
1967,7,-0.108
1967,8,-0.121
1967,9,-0.072
1967,10,-0.139
1967,11,-0.095
1967,12,-0.011
1968,1,-0.079
1968,2,-0.022
1968,3,-0.139
1968,4,-0.111
1968,6,-0.124
1973,1,0.053
1973,2,0.091
1973,3,0.093
1973,4,-0.005
1973,5,-0.034
1973,6,-0.127
1973,7,-0.071
1973,8,-0.036
1973,9,-0.036
1973,10,0.001
1973,11,-0.073
1973,12,-0.075
1974,1,-0.03
1974,2,0.067
1974,3,-0.078
1974,4,-0.093
1974,5,-0.006
1974,6,0.032
1974,7,-0.004
1974,8,-0.045
1974,9,-0.051
1974,10,-0.103
1974,11,-0.092
1974,12,-0.041
1975,1,-0.109
1975,2,0.024
1975,3,0.013
1975,4,-0.056
1975,5,0.024
1975,6,-0.014
1975,7,0.012
1975,8,-0.045
1975,9,-0.075
1975,10,-0.048
1975,11,-0.058
1975,12,0.026
1976,1,-0.1
1976,2,-0.186
1976,3,-0.127
1976,4,-0.069
1976,5,-0.085
1976,6,-0.044
1976,7,-0.044
1976,8,-0.045
1976,9,-0.13
1976,10,-0.155
1976,11,-0.186
1976,12,-0.09
1977,1,-0.194
1977,2,-0.214
1977,3,-0.118
1977,4,-0.12
1977,5,-0.052
1977,6,0.007
1977,7,-0.071
1977,8,-0.082
1977,9,-0.075
1977,10,-0.115
1977,11,0.012
1977,12,-0.011
1978,1,-0.121
1978,2,0.009
1978,3,-0.014
1978,4,-0.026
1978,5,-0.052
1978,6,-0.093
1978,7,-0.05
1978,8,-0.088
1978,9,-0.057
1978,10,-0.063
1978,11,0.042
1978,12,-0.087
1979,1,-0.085
1979,2,-0.07
1979,3,-0.081
1979,4,-0.059
1979,5,-0.119
1979,6,-0.054
1979,7,-0.025
1979,8,-0.073
1979,9,-0.097
1979,10,-0.127
1979,11,-0.128
1979,12,-0.053
1980,1,0.062
1980,2,0.021
1980,3,-0.078
1980,4,-0.047
1980,5,-0.024
1980,6,-0.057
1980,7,-0.111
1980,8,-0.146
1980,9,-0.164
1980,10,-0.164
1980,11,-0.144
1980,12,-0.09
1981,1,-0.075
1981,2,-0.15
1981,3,-0.057
1981,4,-0.136
1981,5,-0.018
1981,6,-0.13
1981,7,-0.028
1981,8,-0.027
1981,9,-0.091
1981,10,-0.139
1981,11,0.003
1981,12,-0.084
1982,1,-0.136
1982,2,-0.086
1982,3,-0.02
1982,4,-0.145
1982,5,-0.101
1982,6,0.007
1982,7,-0.068
1982,8,-0.109
1982,9,-0.121
1982,10,0.007
1982,11,-0.022
1982,12,0.035
1983,1,0.095
1983,2,0.119
1983,3,0.12
1983,4,0.014
1983,5,-0.085
1983,6,0.001
1983,7,-0.004
1983,8,-0.073
1983,9,-0.03
1983,10,0.013
1983,11,-0.003
1983,12,-0.035
1984,1,0.053
1984,2,-0.034
1984,3,0.019
1984,4,0.066
1984,5,-0.079
1984,6,-0.051
1984,7,-0.092
1984,8,-0.051
1984,9,-0.036
1984,10,0.034
1984,11,0.058
1984,12,0.014
1985,1,0.04
1985,2,-0.055
1985,3,-0.06
1985,4,-0.093
1985,5,0.012
1985,6,-0.038
1985,7,-0.007
1985,8,0.028
1985,9,-0.033
1985,10,0.034
1985,11,0.058
1985,12,-0.06
1986,1,-0.06
1986,2,0.033
1986,3,-0.115
1986,4,0.081
1986,5,0.058
1986,6,0.035
1986,7,0.03
1986,8,-0.03
1986,9,-0.075
1986,10,-0.054
1986,11,0.018
1986,12,0.068
1987,1,0.059
1987,2,0.042
1987,3,0.096
1987,4,0.032
1987,5,-0.052
1987,6,-0.075
1987,7,0.009
1987,8,-0.03
1987,9,-0.081
1987,10,-0.097
1987,11,-0.077
1987,12,-0.035
1988,1,-0.03
1988,2,-0.04
1988,3,-0.09
1988,4,0.032
1988,5,-0.043
1988,6,-0.014
1988,7,-0.089
1988,8,-0.07
1988,9,-0.06
1988,10,-0.048
1988,11,-0.095
1988,12,-0.087
1989,1,-0.048
1989,2,-0.037
1989,3,0.035
1989,4,-0.047
1989,5,-0.043
1989,6,-0.078
1989,7,-0.035
1989,8,-0.024
1989,9,-0.042
1989,10,-0.081
1989,11,-0.092
1989,12,-0.072
1990,1,-0.142
1990,2,-0.089
1990,3,-0.008
1990,4,-0.062
1990,5,-0.009
1990,6,-0.029
1990,7,-0.01
1990,8,-0.006
1990,9,-0.008
1990,10,-0.045
1990,11,-0.019
1990,12,-0.047
1991,1,0.071
1991,2,-0.058
1991,3,0.059
1991,4,-0.05
1991,5,0.006
1991,6,0.05
1991,7,0.067
1991,8,0.025
1991,9,0.007
1991,10,-0.014
1991,11,0.036
1991,12,-0.102
1992,1,0.044
1992,2,0.046
1992,3,-0.042
1992,4,-0.005
1992,5,0.061
1992,6,0.08
1992,7,0.046
1992,8,0.074
1992,9,-0.033
1992,10,0.022
1992,11,0.006
1992,12,-0.014
1993,1,0.086
1993,2,0.106
1993,3,-0.029
1993,4,0.069
1993,5,0
1993,6,-0.02
1993,7,-0.001
1993,8,-0.018
1993,9,-0.039
1993,10,0.031
1993,11,-0.04
1993,12,0.041
1994,1,-0.081
1994,2,-0.012
1994,3,0.001
1994,4,-0.099
1994,5,0.056
1994,6,-0.051
1994,7,-0.061
1994,8,-0.051
1994,9,-0.014
1994,10,0.005
1994,11,-0.064
1994,12,0.152
1995,1,0.011
1995,2,-0.082
1995,3,0.036
1995,4,0.005
1995,5,0.052
1995,6,0.013
1995,7,0.033
1995,8,0.146
1995,9,0.061
1995,10,0.016
1995,11,-0.025
1995,12,0.012
1996,1,0.021
1996,2,-0.034
1996,3,-0.059
1996,4,-0.056
1996,5,-0.056
1996,6,-0.05
1996,7,-0.031
1996,8,-0.006
1996,9,0.059
1996,10,0.038
1996,11,0.054
1996,12,0.08
1997,1,0.025
1997,2,0.058
1997,3,0.039
1997,4,0.122
1997,5,-0.037
1997,6,0.076
1997,7,0.043
1997,8,0.041
1997,9,0.018
1997,10,-0.004
1997,11,-0.004
1997,12,0.025
1998,1,0.064
1998,2,0.266
1998,3,0.057
1998,4,0.032
1998,5,0.098
1998,6,-0.002
1998,7,-0.006
1998,8,0.026
1998,9,-0.013
1998,10,-0.088
1998,11,-0.062
1998,12,0.022
1999,1,0.004
1999,2,0.15
1999,3,0.029
1999,4,0.045
1999,5,0.08
1999,6,0.017
1999,7,0.025
1999,8,0.075
1999,9,0.133
1999,10,0.031
1999,11,-0.029
1999,12,0.03
2000,1,-0.026
2000,2,-0.08
2000,3,0.029
2000,4,0.035
2000,5,0.034
2000,6,-0.011
2000,7,0.07
2000,8,0.067
2000,9,0.06
2000,10,0.025
2000,11,0.076
2000,12,-0.044
2001,1,-0.042
2001,2,-0.084
2001,3,0.045
2001,4,-0.046
2001,5,0.025
2001,6,-0.029
2001,7,0.027
2001,8,-0.037
2001,9,0.017
2001,10,-0.026
2001,11,-0.039
2001,12,0.054
2002,1,-0.109
2002,2,0.009
2002,3,-0.063
2002,4,0.031
2002,5,-0.004
