"","year","season","id","mean_salinity","samplesize_salinity","mean_temperature","samplesize_temperature","mean_dissolvedoxygen","samplesize_dissolvedoxygen","mean_pH","samplesize_pH"
"1",1968,"fall","PAMLICO",NA,NA,25.375,8,6.475,8,6.975,8
"2",1968,"summer","PAMLICO",NA,NA,27.9375,16,4.3375,16,7.41875,16
"3",1969,"fall","PAMLICO",NA,NA,22,6,8.55,6,7.38333333333333,6
"4",1969,"spring","PAMLICO",NA,NA,28.125,8,7.025,8,6.975,8
"5",1969,"summer","PAMLICO",NA,NA,25.5,8,6.2875,8,7.9375,8
"6",1970,"fall","PAMLICO",NA,NA,22.125,8,6.8875,8,8.15714285714286,7
"7",1970,"spring","PAMLICO",NA,NA,25.1666666666667,6,7.51666666666667,6,7.1,6
"8",1971,"spring","PAMLICO",NA,NA,22.625,8,5.5125,8,7.125,8
"9",1972,"summer","PAMLICO",NA,NA,24.875,8,6.725,8,NA,NA
"10",1973,"fall","PAMLICO",NA,NA,10,1,8.3,1,6.7,1
"11",1973,"spring","PAMLICO",NA,NA,26.6060606060606,11,6.21818181818182,11,6.29545454545454,11
"12",1973,"summer","PAMLICO",NA,NA,27.25,10,6.265,10,6.10166666666667,10
"13",1974,"fall","PAMLICO",NA,NA,14.5,3,8.06666666666667,3,6.7,1
"14",1974,"spring","PAMLICO",NA,NA,22.75,4,7.94,5,6.26666666666667,3
"15",1974,"summer","PAMLICO",NA,NA,26.6,10,7.16,10,6.57037037037037,9
"16",1974,"winter","PAMLICO",NA,NA,11.9419642857143,16,8.915625,16,6.44901960784314,17
"17",1975,"fall","PAMLICO",NA,NA,18.2,5,7.04,5,NA,NA
"18",1975,"spring","PAMLICO",NA,NA,20.1111111111111,12,8.54166666666667,12,NA,NA
"19",1975,"summer","PAMLICO",NA,NA,23,1,5.4,1,6.3,1
"20",1975,"winter","PAMLICO",NA,NA,11.5892857142857,14,9.96904761904762,14,NA,NA
"21",1976,"fall","PAMLICO",NA,NA,14.8,5,9.71333333333333,5,7.8,1
"22",1976,"spring","PAMLICO",NA,NA,21.4,5,8.61333333333333,5,NA,NA
"23",1976,"summer","PAMLICO",NA,NA,26.0833333333333,4,8.475,4,NA,NA
"24",1976,"winter","PAMLICO",NA,NA,13.3333333333333,3,9.16666666666667,3,NA,NA
"25",1977,"fall","PAMLICO",NA,NA,13.7878787878788,11,9.21363636363636,11,NA,NA
"26",1977,"spring","PAMLICO",NA,NA,24.2222222222222,6,8.67777777777778,6,NA,NA
"27",1977,"summer","PAMLICO",NA,NA,29,7,7.71428571428571,7,NA,NA
"28",1977,"winter","PAMLICO",NA,NA,5.95833333333333,6,11.2683333333333,5,NA,NA
"29",1978,"fall","PAMLICO",NA,NA,12.4444444444444,9,10.284375,8,7.74305555555556,6
"30",1978,"spring","PAMLICO",NA,NA,19.9722222222222,9,7.98240740740741,9,6.99166666666667,8
"31",1978,"summer","PAMLICO",NA,NA,27.2037037037037,9,9.23888888888889,6,7.96296296296296,9
"32",1978,"winter","PAMLICO",NA,NA,4.75,8,12.2125,8,NA,NA
"33",1979,"fall","PAMLICO",NA,NA,12,6,10.9444444444444,6,7.41111111111111,6
"34",1979,"spring","PAMLICO",NA,NA,20,9,7.99074074074074,9,7.06851851851852,9
"35",1979,"summer","PAMLICO",NA,NA,26.7142857142857,7,7.66190476190476,7,7.26190476190476,7
"36",1979,"winter","PAMLICO",NA,NA,7.51851851851852,9,11.084375,8,7.09259259259259,9
"37",1980,"fall","PAMLICO",NA,NA,14.7222222222222,9,10.0857142857143,7,7.84444444444444,9
"38",1980,"spring","PAMLICO",NA,NA,20.4,5,9.16,5,7.38,5
"39",1980,"summer","PAMLICO",NA,NA,29.4444444444444,9,9.13333333333333,9,7.96666666666667,9
"40",1980,"winter","PAMLICO",NA,NA,6.58333333333333,6,12.55,6,7.28333333333333,7
"41",1981,"fall","PAMLICO",7,3,15.2,5,8.42,5,7.68,5
"42",1981,"spring","PAMLICO",1.5,2,20.6,5,7.56,5,7.34,5
"43",1981,"summer","PAMLICO",10.75,4,27.8,5,6.64,5,7.6,5
"44",1981,"winter","PAMLICO",NA,NA,5.8,5,12.04,5,7.24,5
"45",1982,"fall","PAMLICO",6.85714285714286,7,15.8333333333333,9,9.67777777777778,9,7.51666666666667,9
"46",1982,"spring","PAMLICO",3.9,10,19.4615384615385,13,7.85454545454545,11,7.29230769230769,13
"47",1982,"summer","PAMLICO",4.875,8,25.3333333333333,9,6.96666666666667,9,6.88888888888889,9
"48",1982,"winter","PAMLICO",3.71428571428571,7,8.14285714285714,7,9.94285714285714,7,7.04285714285714,7
"49",1983,"fall","PAMLICO",7.4125,16,17.1271241830065,17,9.71764705882353,17,7.44666666666667,15
"50",1983,"spring","PAMLICO",0.9625,16,20.5650326797386,17,8.12941176470588,17,7.12666666666667,15
"51",1983,"summer","PAMLICO",4.42142857142857,14,27.1240740740741,18,8.37222222222222,18,7.87058823529412,17
"52",1983,"winter","PAMLICO",4,6,11.1111111111111,9,9.8,9,6.81111111111111,9
"53",1984,"fall","PAMLICO",4.54166666666667,12,15.9230769230769,13,8.33076923076923,13,7.23076923076923,13
"54",1984,"spring","PAMLICO",1.29333333333333,15,22.8032679738562,17,7.32941176470588,17,7.27333333333333,15
"55",1984,"summer","PAMLICO",2.52857142857143,14,25.0294117647059,17,6.58823529411765,17,7.34375,16
"56",1984,"winter","PAMLICO",4.85,16,9.30653594771242,17,10.95625,16,7.56176470588235,17
"57",1985,"fall","PAMLICO",6.47647058823529,17,17.8823529411765,17,7.90625,16,7.21176470588235,17
"58",1985,"spring","PAMLICO",7.47058823529412,17,23.1725308641975,18,8.2,18,7.56388888888889,18
"59",1985,"summer","PAMLICO",10.5555555555556,9,25.9882716049383,9,8.87777777777778,9,8.22857142857143,7
"60",1985,"winter","PAMLICO",7.40625,16,7.17647058823529,17,11.1058823529412,17,7.54,15
"61",1986,"fall","PAMLICO",9.28181818181818,11,20.4545454545455,11,7.7,11,7.51818181818182,11
"62",1986,"spring","PAMLICO",6.60666666666667,15,22.2352941176471,17,7.34117647058823,17,7.65294117647059,17
"63",1986,"summer","PAMLICO",6.06470588235294,17,27.9411764705882,17,6.81764705882353,17,7.58823529411765,17
"64",1986,"winter","PAMLICO",6.58823529411765,17,8.05882352941176,17,11.6764705882353,17,7.6,15
"65",1987,"fall","PAMLICO",7.31666666666667,12,17.5833333333333,12,7.325,12,7.45,12
"66",1987,"spring","PAMLICO",2.87,10,19.9090909090909,11,7.39090909090909,11,6.87272727272727,11
"67",1987,"summer","PAMLICO",4.85833333333333,12,28.7307692307692,13,6.75384615384615,13,7.44615384615385,13
"68",1987,"winter","PAMLICO",6.12,10,7.18181818181818,11,10.4363636363636,11,7.12727272727273,11
"69",1988,"fall","PAMLICO",13.3231928661616,16,15.9471227027217,16,8.01134785353535,16,7.34166666666667,16
"70",1988,"spring","PAMLICO",5.57840236686391,13,20.1875352078477,16,7.48343531468531,16,7.20013986013986,15
"71",1988,"summer","PAMLICO",9.28929101489863,19,28.0747995313442,19,6.60834455439779,19,7.56979557236693,19
"72",1988,"winter","PAMLICO",8.04545454545454,11,5.97936507936508,14,10.55,14,7.14615384615385,13
"73",1989,"fall","PAMLICO",5.73373531230674,35,14.1279790447648,35,8.46157359097485,35,7.53846153846154,26
"74",1989,"spring","PAMLICO",2.79615705931495,19,22.8358524516419,19,6.69627209048262,19,7.3078431372549,17
"75",1989,"summer","PAMLICO",4.92370511739078,32,27.1619156034597,32,6.16462024903201,32,7.71494252873563,29
"76",1989,"winter","PAMLICO",9.97962962962963,18,11.0891975308642,18,9.19074074074074,18,7.34705882352941,17
"77",1990,"fall","PAMLICO",11.4468137879038,34,17.6432317106193,34,6.70155683704992,34,7.7358024691358,27
"78",1990,"spring","PAMLICO",1.88959363134286,33,20.483672972429,33,7.32022340529658,33,7.30641025641026,26
"79",1990,"summer","PAMLICO",6.84805066257272,34,27.7251808240779,34,5.88627559123883,34,7.27654320987654,27
"80",1990,"winter","PAMLICO",3.55733853688399,33,9.13408145627397,33,10.1687699891711,33,7.176,25
"81",1991,"fall","PAMLICO",11.3161597727669,35,16.2758743637315,35,7.01329791636935,35,7.94040404040404,33
"82",1991,"spring","PAMLICO",5.65600051572802,34,22.830509996326,34,5.97398910681783,34,7.75735294117647,34
"83",1991,"summer","PAMLICO",7.5752624282036,33,27.8159105377688,33,5.3150961197151,33,7.84646464646465,33
"84",1991,"winter","PAMLICO",7.96212121212121,8,9.43465909090909,8,9.39204545454546,8,7.30833333333333,8
"85",1992,"fall","PAMLICO",8.61548681438387,33,15.9435099362907,33,7.11936600387135,33,7.48989898989899,33
"86",1992,"spring","PAMLICO",7.87140063219609,33,17.5728540028005,33,7.80405020113576,33,7.58282828282828,33
