"","year","season","id","mean_salinity","samplesize_salinity","mean_temperature","samplesize_temperature","mean_dissolvedoxygen","samplesize_dissolvedoxygen","mean_pH","samplesize_pH"
"1",1969,"spring","CAPEFEAR",NA,NA,28,1,6.4,1,6,1
"2",1970,"fall","CAPEFEAR",NA,NA,15,1,6.8,1,6.3,1
"3",1970,"summer","CAPEFEAR",NA,NA,28.5,2,4.85,2,6.4,2
"4",1971,"spring","CAPEFEAR",NA,NA,14,1,9,1,6.2,1
"5",1972,"fall","CAPEFEAR",NA,NA,25.1666666666667,6,6.28333333333333,6,7.24,5
"6",1972,"spring","CAPEFEAR",NA,NA,25,1,5.4,1,6.8,1
"7",1972,"summer","CAPEFEAR",NA,NA,25.8,5,6.94,5,NA,NA
"8",1973,"spring","CAPEFEAR",NA,NA,22.5,2,7,2,6.25,2
"9",1973,"summer","CAPEFEAR",NA,NA,26,5,6.4,5,5.96666666666667,3
"10",1974,"winter","CAPEFEAR",NA,NA,15,1,7.9,1,6.2,1
"11",1975,"spring","CAPEFEAR",NA,NA,21,3,6.2,3,6.75,2
"12",1975,"summer","CAPEFEAR",NA,NA,30,1,5,1,6.1,1
"13",1975,"winter","CAPEFEAR",NA,NA,13.7142857142857,7,8.22857142857143,7,6.67142857142857,7
"14",1976,"fall","CAPEFEAR",NA,NA,16.6666666666667,3,7.13333333333333,3,6.6,3
"15",1976,"summer","CAPEFEAR",NA,NA,21,2,7.1,2,6.5,2
"16",1976,"winter","CAPEFEAR",NA,NA,14,1,5.9,1,5.9,1
"17",1977,"fall","CAPEFEAR",NA,NA,19.6666666666667,3,7.2,3,6.55,2
"18",1977,"spring","CAPEFEAR",NA,NA,16.5,2,6.65,2,6.65,2
"19",1977,"summer","CAPEFEAR",NA,NA,28,1,NA,NA,NA,NA
"20",1977,"winter","CAPEFEAR",NA,NA,10,2,8.8,1,6.9,1
"21",1978,"fall","CAPEFEAR",NA,NA,17.3333333333333,3,7.83333333333333,3,6.4,3
"22",1978,"spring","CAPEFEAR",NA,NA,16.25,4,6.9,4,6.75,4
"23",1978,"summer","CAPEFEAR",NA,NA,27,3,7.46666666666667,3,6.65,2
"24",1978,"winter","CAPEFEAR",NA,NA,10.5,2,8.7,2,6.05,2
"25",1979,"fall","CAPEFEAR",NA,NA,18,3,7.7,3,6.13333333333333,3
"26",1979,"spring","CAPEFEAR",NA,NA,20,1,7.5,1,8,1
"27",1979,"summer","CAPEFEAR",NA,NA,21,2,6.55,2,6,1
"28",1979,"winter","CAPEFEAR",NA,NA,11,1,7.8,1,6.5,1
"29",1980,"fall","CAPEFEAR",NA,NA,13,3,8.8,3,7.63333333333333,3
"30",1980,"spring","CAPEFEAR",NA,NA,20,2,7.63333333333333,2,7.075,2
"31",1980,"summer","CAPEFEAR",NA,NA,27,1,5.3,1,7.6,1
"32",1980,"winter","CAPEFEAR",NA,NA,17,1,6.9,1,6.1,1
"33",1981,"fall","CAPEFEAR",10.6666666666667,3,12,3,8.33333333333333,3,7.28,3
"34",1981,"spring","CAPEFEAR",6.5,2,23.5,3,6.1,3,6.91666666666667,3
"35",1981,"summer","CAPEFEAR",7.33333333333333,3,25.6666666666667,3,5.3,3,6.95,2
"36",1981,"winter","CAPEFEAR",NA,NA,9,3,11.5666666666667,3,7.06666666666667,3
"37",1982,"fall","CAPEFEAR",6,3,15.3333333333333,3,7.46666666666667,3,7.23333333333333,3
"38",1982,"spring","CAPEFEAR",6.5,2,21.6666666666667,3,5.9,3,6.68333333333333,3
"39",1982,"summer","CAPEFEAR",7.33333333333333,3,27.3333333333333,3,5.03333333333333,3,6.9,3
"40",1982,"winter","CAPEFEAR",0,3,8,3,10.2,3,6.65,3
"41",1983,"fall","CAPEFEAR",5.33333333333333,3,15,3,7.7,3,7,3
"42",1983,"spring","CAPEFEAR",2.33333333333333,3,20.6666666666667,3,7,3,6.23333333333333,3
"43",1983,"summer","CAPEFEAR",8.5,3,28.6666666666667,3,5,3,7.13333333333333,3
"44",1983,"winter","CAPEFEAR",0.333333333333333,3,10.3333333333333,3,8.13333333333333,3,6.05,2
"45",1984,"fall","CAPEFEAR",4.16666666666667,3,12.3333333333333,3,8.4,3,7.03,3
"46",1984,"spring","CAPEFEAR",3.33333333333333,3,22.3333333333333,3,6.8,3,7.06,3
"47",1984,"summer","CAPEFEAR",0,3,22,3,4.63333333333333,3,6.35,2
"48",1984,"winter","CAPEFEAR",1,1,8,1,8.5,1,6.7,1
"49",1985,"fall","CAPEFEAR",5.33333333333333,6,17.6666666666667,6,6.01666666666667,6,6.91666666666667,6
"50",1985,"spring","CAPEFEAR",10,6,18.8333333333333,6,6.66666666666667,6,7.36666666666667,6
"51",1985,"summer","CAPEFEAR",6.91666666666667,6,26.1666666666667,6,5.53333333333333,6,7.00833333333333,6
"52",1985,"winter","CAPEFEAR",4.625,4,6,4,10.25,4,7.0125,4
"53",1986,"fall","CAPEFEAR",7.83333333333333,6,18,6,6.71666666666667,6,7.2,6
"54",1986,"spring","CAPEFEAR",11.6666666666667,6,22.8333333333333,6,5.8,6,7.56666666666667,6
"55",1986,"summer","CAPEFEAR",6.66666666666667,6,28,6,4.36666666666667,6,7.31666666666667,6
"56",1986,"winter","CAPEFEAR",4.5,4,11.25,4,8.7,4,7.2125,4
"57",1987,"fall","CAPEFEAR",15.6666666666667,6,16.5,6,7.16666666666667,6,7.48333333333333,6
"58",1987,"spring","CAPEFEAR",2.83333333333333,6,23,6,5.61666666666667,6,7.1,6
"59",1987,"summer","CAPEFEAR",11.8333333333333,6,28.2851851851852,6,4.46666666666667,6,7.28333333333333,6
"60",1987,"winter","CAPEFEAR",2.33333333333333,3,9.33333333333333,3,9.6,3,6.46666666666667,3
"61",1988,"fall","CAPEFEAR",6,6,16.0833333333333,6,7.48333333333333,6,7.41666666666667,6
