"","year","season","id","mean_salinity","samplesize_salinity","mean_temperature","samplesize_temperature","mean_dissolvedoxygen","samplesize_dissolvedoxygen","mean_pH","samplesize_pH"
"1",1969,"summer","NEW",NA,NA,27.1111111111111,9,5.075,8,6.84444444444444,9
"2",1970,"fall","NEW",NA,NA,20.6363636363636,11,4.72727272727273,11,7.72727272727273,11
"3",1970,"spring","NEW",NA,NA,26.4545454545455,11,7.48888888888889,9,7.75909090909091,11
"4",1972,"summer","NEW",NA,NA,28.3,10,5.93,10,6.4,9
"5",1973,"spring","NEW",NA,NA,24.7857142857143,14,7.25,14,6.43333333333333,6
"6",1973,"summer","NEW",NA,NA,26.8787878787879,11,6.27878787878788,11,6.16666666666667,3
"7",1974,"fall","NEW",NA,NA,20.1428571428571,7,8.2,7,6.28,5
"8",1974,"summer","NEW",NA,NA,26,1,7.55,2,6.6,2
"9",1975,"fall","NEW",NA,NA,20.5,6,6.23333333333333,6,6.575,4
"10",1975,"spring","NEW",NA,NA,27,3,6.06666666666667,3,6.4,3
"11",1975,"summer","NEW",NA,NA,25.2727272727273,11,5.97272727272727,11,7.725,4
"12",1975,"winter","NEW",NA,NA,12.3333333333333,6,7.2,6,7.4,2
"13",1976,"fall","NEW",NA,NA,12.7142857142857,7,6.88571428571429,7,6.85714285714286,7
"14",1976,"spring","NEW",NA,NA,15.75,4,6.1,4,6.56666666666667,3
"15",1976,"summer","NEW",NA,NA,25.75,4,6.85,4,6.2,3
"16",1976,"winter","NEW",NA,NA,14.6363636363636,11,5.52727272727273,11,6.6625,8
"17",1977,"winter","NEW",NA,NA,3.75,4,11.95,4,7.45,4
"18",1978,"fall","NEW",NA,NA,22,6,8.05,4,6.1,2
"19",1978,"winter","NEW",NA,NA,14.3333333333333,3,6.73333333333333,3,6.46666666666667,3
"20",1979,"fall","NEW",NA,NA,18,1,6.9,1,6.1,1
"21",1979,"summer","NEW",NA,NA,19,1,6.8,1,6.1,1
"22",1979,"winter","NEW",NA,NA,13.75,4,6.7,4,7.25,4
"23",1980,"fall","NEW",NA,NA,15.2222222222222,9,9.5,9,7.9125,8
"24",1980,"spring","NEW",NA,NA,26.6666666666667,6,7.33333333333333,6,7.76,5
"25",1980,"summer","NEW",NA,NA,26.3333333333333,9,5.76666666666667,9,7.4,9
"26",1980,"winter","NEW",NA,NA,16,2,7.05,2,6.1,1
"27",1981,"fall","NEW",19.6666666666667,9,13.2222222222222,9,7.77777777777778,9,7.865,9
"28",1981,"spring","NEW",13.3333333333333,6,25.5833333333333,6,8.21666666666667,6,7.92222222222222,9
"29",1981,"summer","NEW",9.05555555555556,9,28.7777777777778,9,6.85555555555556,9,7.95555555555556,9
"30",1981,"winter","NEW",NA,NA,7,9,12.5166666666667,6,7.17222222222222,9
"31",1982,"fall","NEW",11.6666666666667,9,15.5555555555556,9,7.9,9,7.5,9
"32",1982,"spring","NEW",9.66666666666667,9,24.3333333333333,9,6.27777777777778,9,7.58333333333333,9
"33",1982,"summer","NEW",9.88888888888889,9,25.9444444444444,9,6.45,8,7.5,9
"34",1982,"winter","NEW",9.28571428571429,7,10.3888888888889,9,9.28888888888889,9,7.10625,8
"35",1983,"fall","NEW",13.4444444444444,9,15.3333333333333,9,5.46666666666667,9,6.92222222222222,9
"36",1983,"spring","NEW",5.72222222222222,9,20.5555555555556,9,6.95555555555556,9,7.14444444444444,9
"37",1983,"summer","NEW",9.05555555555556,9,26.6666666666667,9,5.8,9,7.83333333333333,9
"38",1983,"winter","NEW",4,9,11.8888888888889,9,9.18888888888889,9,7.05555555555556,9
"39",1984,"fall","NEW",7.84285714285714,7,14.875,8,8.975,8,7.38125,8
"40",1984,"spring","NEW",6.9375,8,22.75,8,7.7,7,7.25625,8
"41",1984,"summer","NEW",7.1,10,25,10,6.47,10,7.3,10
"42",1984,"winter","NEW",6.77777777777778,9,9.11111111111111,9,8.65555555555556,9,7.3,9
"43",1985,"fall","NEW",9.8,5,18.1666666666667,6,6.68333333333333,6,7.34166666666667,6
"44",1985,"spring","NEW",20.6666666666667,3,19.3333333333333,3,7.6,3,8.23333333333333,3
