"","year","season","id","mean_salinity","samplesize_salinity","mean_temperature","samplesize_temperature","mean_dissolvedoxygen","samplesize_dissolvedoxygen","mean_pH","samplesize_pH"
"1",1970,"fall","ALBEMARLE",2.40952380952381,21,15.7346560846561,21,6.3447619047619,21,NA,NA
"2",1970,"summer","ALBEMARLE",1.4,7,28.0412698412698,7,5.76857142857143,7,NA,NA
"3",1971,"fall","ALBEMARLE",0.666666666666667,18,14.3990740740741,18,6.58277777777778,18,NA,NA
"4",1971,"spring","ALBEMARLE",0.266666666666667,18,16.5657407407407,18,6.48888888888889,18,NA,NA
"5",1971,"summer","ALBEMARLE",0.188888888888889,18,26.4956790123457,18,5.27277777777778,18,NA,NA
"6",1971,"winter","ALBEMARLE",1.8,13,7.52051282051282,13,9.06076923076923,13,NA,NA
"7",1972,"fall","ALBEMARLE",0.294444444444444,18,15.3117283950617,18,6.76277777777778,18,NA,NA
"8",1972,"spring","ALBEMARLE",0.05,12,17.6518518518519,12,7.0575,12,NA,NA
"9",1972,"summer","ALBEMARLE",0.291666666666667,12,27.8291666666667,12,5.6125,12,NA,NA
"10",1972,"winter","ALBEMARLE",0.0416666666666667,12,8.64027777777778,12,7.92166666666667,12,NA,NA
"11",1973,"fall","ALBEMARLE",0.4,12,19.6273148148148,12,5.80833333333333,12,NA,NA
"12",1973,"spring","ALBEMARLE",0.2,18,20.9987654320988,18,6.31611111111111,18,NA,NA
"13",1973,"summer","ALBEMARLE",0.183333333333333,6,28.25,6,5.61666666666667,6,NA,NA
"14",1973,"winter","ALBEMARLE",0.233333333333333,6,11.4175925925926,6,7.455,6,NA,NA
"15",1974,"winter","ALBEMARLE",0.658333333333333,12,12.4277777777778,12,7.0425,12,NA,NA
"16",1977,"fall","ALBEMARLE",NA,NA,14,2,10.1,2,NA,NA
"17",1977,"spring","ALBEMARLE",NA,NA,22,1,4.6,1,NA,NA
"18",1978,"fall","ALBEMARLE",NA,NA,18,2,10.25,2,7.15,2
"19",1978,"spring","ALBEMARLE",NA,NA,20.6666666666667,3,8.56666666666667,3,7.4,3
"20",1978,"summer","ALBEMARLE",NA,NA,29.5,2,6,1,7.45,2
"21",1978,"winter","ALBEMARLE",NA,NA,5,4,11.83125,4,7.1,1
"22",1979,"spring","ALBEMARLE",NA,NA,23,2,9.6,1,7.5,2
"23",1979,"summer","ALBEMARLE",NA,NA,27,1,9.1,1,7.05,2
"24",1979,"winter","ALBEMARLE",NA,NA,7,3,12.2,3,7.16666666666667,3
"25",1980,"fall","ALBEMARLE",NA,NA,14.5,2,9.7,2,7.25,2
