"","year","season","id","mean_salinity","samplesize_salinity","mean_temperature","samplesize_temperature","mean_dissolvedoxygen","samplesize_dissolvedoxygen","mean_pH","samplesize_pH"
"1",1970,"fall","CHOWAN",NA,NA,15.9342592592593,6,5.83666666666667,6,NA,NA
"2",1970,"summer","CHOWAN",2.8,1,23.6444444444444,2,7.365,2,NA,NA
"3",1971,"fall","CHOWAN",0.8,4,14.4694444444444,6,6.57333333333333,6,NA,NA
"4",1971,"spring","CHOWAN",1.66666666666667,6,17.6888888888889,6,6.625,6,NA,NA
"5",1971,"summer","CHOWAN",0.82,5,26.6666666666667,6,5.45666666666667,6,NA,NA
"6",1971,"winter","CHOWAN",NA,NA,7.20416666666667,4,7.9975,4,NA,NA
"7",1972,"fall","CHOWAN",0.96,5,15.337962962963,6,6.62,6,NA,NA
"8",1972,"spring","CHOWAN",0.675,4,17.8819444444444,4,6.44,4,NA,NA
"9",1972,"summer","CHOWAN",1.025,4,27.8291666666667,4,5.0225,4,NA,NA
"10",1972,"winter","CHOWAN",0.675,4,8.83611111111111,4,7.74,4,NA,NA
"11",1973,"fall","CHOWAN",1.05,4,19.1972222222222,4,5.625,4,NA,NA
"12",1973,"spring","CHOWAN",0.9,6,20.3861111111111,6,6.135,6,NA,NA
"13",1973,"summer","CHOWAN",1.1,2,27.75,2,4.77,2,NA,NA
"14",1973,"winter","CHOWAN",0.85,2,11.4083333333333,2,7.62,2,NA,NA
"15",1974,"fall","CHOWAN",NA,NA,19,1,6.15,1,NA,NA
"16",1974,"spring","CHOWAN",NA,NA,23.25,2,6.55,2,NA,NA
"17",1974,"summer","CHOWAN",NA,NA,24,1,6.7,1,NA,NA
"18",1974,"winter","CHOWAN",1.26666666666667,3,11.5234567901235,9,8.50666666666667,9,6.7,1
"19",1975,"spring","CHOWAN",NA,NA,24,1,8.175,1,NA,NA
"20",1975,"winter","CHOWAN",NA,NA,8,1,10.15,1,NA,NA
"21",1976,"fall","CHOWAN",NA,NA,8,2,10.1,2,NA,NA
"22",1976,"spring","CHOWAN",NA,NA,21.375,2,7.9375,2,NA,NA
"23",1976,"summer","CHOWAN",NA,NA,25,2,7.83333333333333,2,NA,NA
"24",1976,"winter","CHOWAN",NA,NA,14.625,2,11.125,2,NA,NA
"25",1977,"fall","CHOWAN",NA,NA,19,2,6.7875,2,NA,NA
"26",1977,"spring","CHOWAN",NA,NA,23.0625,4,7.55,4,NA,NA
"27",1977,"summer","CHOWAN",NA,NA,27,4,6.5625,4,NA,NA
"28",1977,"winter","CHOWAN",NA,NA,6.5,2,11.5125,2,7.3,1
"29",1978,"fall","CHOWAN",NA,NA,18,1,8.3,1,7.475,1
"30",1978,"spring","CHOWAN",NA,NA,21.40625,4,7.9375,2,6.94375,4
"31",1978,"summer","CHOWAN",NA,NA,24.625,2,8.2,2,7.3875,2
"32",1978,"winter","CHOWAN",NA,NA,8.5,2,10.9,2,NA,NA
"33",1979,"fall","CHOWAN",NA,NA,14.3333333333333,2,5.73333333333333,2,6.73333333333333,2
"34",1979,"spring","CHOWAN",NA,NA,19.6666666666667,3,7.20833333333333,3,6.91666666666667,3
"35",1979,"summer","CHOWAN",NA,NA,26.0833333333333,3,8.05,2,7.03333333333333,3
"36",1979,"winter","CHOWAN",NA,NA,7.125,4,11.0916666666667,3,7.075,4
"37",1980,"fall","CHOWAN",NA,NA,13.6666666666667,3,9.33333333333333,3,7.3,3
"38",1980,"spring","CHOWAN",NA,NA,17.75,4,8.75,4,6.76666666666667,3
"39",1980,"summer","CHOWAN",NA,NA,30,3,7.6,2,7.16666666666667,3
"40",1980,"winter","CHOWAN",NA,NA,6.66666666666667,3,10.9333333333333,3,7.00833333333333,3
"41",1981,"fall","CHOWAN",2,1,10.5015432098765,9,10.3388888888889,9,7.07222222222222,9
"42",1981,"spring","CHOWAN",0,1,20.3348484848485,11,7.60909090909091,11,6.9,8
"43",1981,"summer","CHOWAN",2,2,24.4487654320988,9,7.04444444444444,9,7.1625,8
"44",1981,"winter","CHOWAN",NA,NA,5.82006172839506,9,12.0125,8,7.21875,8
"45",1982,"fall","CHOWAN",0.826666666666667,5,16.1252645502645,7,8.62380952380952,7,6.97380952380952,7
"46",1982,"spring","CHOWAN",0.0966666666666667,5,19.7255892255892,11,8.70454545454546,11,6.82833333333333,10
"47",1982,"summer","CHOWAN",0.185185185185185,9,26.6363888888889,10,6.96,10,6.78518518518519,9
"48",1982,"winter","CHOWAN",0,2,6.49259259259259,9,10.7833333333333,9,6.75,6
"49",1983,"fall","CHOWAN",0.625,2,15.199537037037,2,9.7,2,7.19166666666667,2
"50",1983,"spring","CHOWAN",NA,NA,22.3911111111111,5,6.83,5,6.95666666666667,5
"51",1983,"summer","CHOWAN",0.225,2,26.4276234567901,6,6.73055555555556,6,6.98611111111111,6
"52",1983,"winter","CHOWAN",0.125,4,7.53851851851852,5,11.1733333333333,5,6.72916666666667,4
"53",1984,"fall","CHOWAN",1.24444444444444,1,11.6666666666667,1,9.47777777777778,1,6.96666666666667,1
"54",1984,"spring","CHOWAN",0,2,24.2916666666667,4,5.99166666666667,4,7.55833333333333,4
"55",1984,"summer","CHOWAN",0,3,24.2904761904762,7,6.16857142857143,7,7.31388888888889,6
"56",1984,"winter","CHOWAN",0,2,7.53055555555556,4,10.9541666666667,4,6.9125,4
"57",1985,"fall","CHOWAN",0.837291666666667,4,20.8398611111111,4,7.1275,4,6.94027777777778,3
"58",1985,"spring","CHOWAN",0.271666666666667,5,22.890462962963,6,8.3075,6,7.31373015873016,6
"59",1985,"summer","CHOWAN",1.27777777777778,2,27.5283333333333,4,6.22944444444444,4,6.9,2
"60",1985,"winter","CHOWAN",0.375,3,5.88246527777778,4,11.6420138888889,4,7.40833333333333,4
"61",1986,"spring","CHOWAN",0.251851851851852,3,22.9270833333333,4,6.89166666666667,4,7.33333333333333,4
"62",1986,"summer","CHOWAN",1.18888888888889,4,26.3888888888889,4,6.69722222222222,4,6.79166666666667,4
"63",1986,"winter","CHOWAN",0,4,8,4,11.4597222222222,4,7.2625,4
"64",1987,"fall","CHOWAN",1.13333333333333,2,12.4444444444444,2,9.75555555555556,2,6.78333333333333,2
"65",1987,"spring","CHOWAN",0,3,24.3055555555556,4,6.68888888888889,4,7.28333333333333,4
"66",1987,"summer","CHOWAN",0,4,26.4722222222222,6,6.50425925925926,6,7.05555555555556,6
"67",1987,"winter","CHOWAN",0.45,2,7.19444444444444,4,9.925,4,7.0125,4
"68",1988,"fall","CHOWAN",1.08333333333333,2,13.8333333333333,2,9.01666666666667,2,6.85,2
"69",1988,"spring","CHOWAN",0,4,22.1805555555556,4,8.19166666666667,4,7.24166666666667,4
"70",1988,"summer","CHOWAN",0.690740740740741,6,25.75,6,6.95277777777778,6,6.84166666666667,4
"71",1988,"winter","CHOWAN",0.133333333333333,5,7.84259259259259,6,10.6944444444444,6,7.02777777777778,6
"72",1989,"fall","CHOWAN",0,2,8.23333333333333,2,9.76,2,6.65,2
"73",1989,"spring","CHOWAN",0,5,23.2846153846154,5,6.09166666666667,5,7.13333333333333,4
"74",1989,"summer","CHOWAN",0,8,23.56875,8,6.53541666666667,8,7.27777777777778,6
"75",1989,"winter","CHOWAN",0.45,4,8.55,4,10.2611111111111,4,6.83333333333333,2
"76",1990,"fall","CHOWAN",0,2,12.7678571428571,2,7.07321428571429,2,6.9,1
"77",1990,"spring","CHOWAN",0,4,22.125,4,6.95333333333333,4,6.84166666666667,4
"78",1990,"summer","CHOWAN",0.44949494949495,9,26.9760683760684,9,7.56210696710697,9,7.51944444444444,6
"79",1990,"winter","CHOWAN",0.625,4,9.35833333333333,4,10.4466666666667,4,6.53333333333333,2
"80",1991,"fall","CHOWAN",NA,NA,13,2,7.25357142857143,2,7.3,2
"81",1991,"spring","CHOWAN",0,3,26.6666666666667,3,7.18,1,7.58888888888889,3
"82",1991,"summer","CHOWAN",0.0222222222222222,6,26.3166666666667,6,6.65611111111111,6,7.51666666666667,6
"83",1992,"fall","CHOWAN",0.276666666666667,2,14.7333333333333,2,9.42,2,7.16666666666667,2
"84",1992,"spring","CHOWAN",0.0272727272727273,3,22.5333333333333,3,7.59212121212121,3,7.43333333333333,3
"85",1992,"summer","CHOWAN",0.0930555555555556,6,26.9416666666667,6,6.95753968253968,6,7.21666666666667,6
"86",1992,"winter","CHOWAN",0.211538461538462,4,11.0769230769231,4,9.44230769230769,4,6.96666666666667,3
"87",1993,"fall","CHOWAN",0,2,13.5,2,8.17051282051282,2,7.05,2
"88",1993,"spring","CHOWAN",0,3,24.2871794871795,3,6.36987179487179,3,7.33333333333333,3
"89",1993,"summer","CHOWAN",0,6,27.3690476190476,6,7.31153846153846,6,7.40666666666667,5
"90",1993,"winter","CHOWAN",0,3,8.93333333333333,3,10.2471428571429,3,6.57777777777778,3
"91",1994,"fall","CHOWAN",1.91730769230769,4,13.5294871794872,6,9.27802197802198,6,7.58333333333333,6
"92",1994,"spring","CHOWAN",0,4,23.3928571428571,4,7.95714285714286,4,8,1
"93",1994,"summer","CHOWAN",1.11195054945055,6,26.8095238095238,6,7.37358058608059,6,7.62666666666667,5
"94",1994,"winter","CHOWAN",0,3,8.66666666666667,3,9.90769230769231,3,6.76666666666667,1
"95",1995,"fall","CHOWAN",0.663247863247863,3,13.3864468864469,3,8.38131868131868,3,7.5,2
"96",1995,"spring","CHOWAN",0.154545454545455,3,22.507326007326,3,8.09047619047619,3,7.11111111111111,3
"97",1995,"summer","CHOWAN",0.0777777777777778,3,26.3803418803419,3,7.00731837606838,3,7.32777777777778,3
"98",1995,"winter","CHOWAN",0.25,2,9.58730158730159,3,10.3285714285714,3,7.53333333333333,2
"99",1996,"fall","CHOWAN",0.0888888888888889,3,11.5567765567766,3,9.40604395604396,3,7,3
"100",1996,"spring","CHOWAN",0,3,19.8534798534799,3,8.58424908424908,3,6.66666666666667,3
"101",1996,"summer","CHOWAN",0.226190476190476,3,25.2349206349206,3,7.11819291819292,3,7.56666666666667,3
"102",1996,"winter","CHOWAN",0.111111111111111,3,6.996336996337,3,11.3758241758242,3,6.86666666666667,3
"103",1997,"fall","CHOWAN",0.813194444444444,12,12.3993055555556,12,10.5868055555556,12,7.04166666666667,12
"104",1997,"spring","CHOWAN",0.2,2,22.1041666666667,12,8.25416666666667,12,7.23636363636364,11
"105",1997,"summer","CHOWAN",0.7,11,27.7145833333333,12,7.71041666666667,12,7.33636363636364,11
"106",1997,"winter","CHOWAN",NA,NA,10.5357142857143,7,10.1535714285714,7,7.04285714285714,7
"107",1998,"fall","CHOWAN",1.35416666666667,8,16.6259126984127,12,8.62855158730159,12,7.43,10
"108",1998,"spring","CHOWAN",0.0523809523809524,12,21.1127976190476,12,7.88809523809524,12,7.025,12
"109",1998,"summer","CHOWAN",0.5,12,28.1441468253968,12,6.99126984126984,12,7.20833333333333,12
"110",1998,"winter","CHOWAN",0.05,12,8.25416666666667,12,9.93541666666667,12,7.20833333333333,12
"111",1999,"fall","CHOWAN",0.0509027777777778,12,14.3118055555556,12,8.88819444444444,12,6.98541666666667,12
"112",1999,"spring","CHOWAN",0.7125,10,19.7201388888889,12,8.04027777777778,12,7.26944444444444,12
"113",1999,"summer","CHOWAN",0.804722222222222,6,25.76875,12,6.2280303030303,11,7.42395833333333,8
"114",1999,"winter","CHOWAN",0.655555555555556,9,10.2083333333333,12,10.6166666666667,12,7.56666666666667,12
"115",2000,"fall","CHOWAN",0.2,8,11.4722222222222,12,10.1011904761905,12,7.36875,12
"116",2000,"spring","CHOWAN",0.2,12,21.1646825396825,12,8.6110119047619,12,7.43303571428571,12
"117",2000,"summer","CHOWAN",0.205555555555556,12,27.0208333333333,12,7.10138888888889,12,7.1375,12
"118",2000,"winter","CHOWAN",0.2,8,10.6375,8,10.4314583333333,8,7.21875,8
"119",2001,"fall","CHOWAN",2.38125,4,14.9701388888889,12,9.425,12,7.57847222222222,12
"120",2001,"spring","CHOWAN",0.563888888888889,12,21.5381944444444,12,8.61458333333333,12,7.50902777777778,12
"121",2001,"summer","CHOWAN",0.761785714285714,12,27.5340277777778,12,6.82202380952381,12,7.13829365079365,12
"122",2001,"winter","CHOWAN",0.707142857142857,8,6.815625,8,12.171875,8,7.528125,8
"123",2002,"fall","CHOWAN",1.95875,4,14.7680555555556,12,8.72430555555555,12,7.21527777777778,12
"124",2002,"spring","CHOWAN",2.06181818181818,11,22.3943452380952,12,7.61914682539683,12,7.30138888888889,12
"125",2002,"summer","CHOWAN",1.525,1,26.6616071428571,12,6.84811507936508,12,7.22261904761905,12
"126",2002,"winter","CHOWAN",2.725,2,9.87083333333333,12,10.45625,12,7.37152777777778,12
"127",2003,"fall","CHOWAN",0.058422619047619,12,13.8832341269841,12,9.05734126984127,12,7.10208333333333,12
"128",2003,"spring","CHOWAN",0.0418154761904762,12,19.275376984127,12,7.19414682539683,12,7.24685714285714,5
"129",2003,"summer","CHOWAN",0.0464583333333333,12,26.044126984127,12,5.93207142857143,10,6.7419246031746,12
"130",2003,"winter","CHOWAN",0.198722222222222,12,7.21708333333333,12,11.2044444444444,12,6.77962962962963,9
"131",2004,"fall","CHOWAN",0.0795833333333333,12,16.2335119047619,12,8.54587301587302,12,7.11680555555556,12
"132",2004,"spring","CHOWAN",0.168406746031746,12,20.8569444444444,12,8.35763888888889,12,7.36988095238095,12
"133",2004,"summer","CHOWAN",0.0425,12,26.8727579365079,12,7.05277777777778,12,7.40295634920635,12
"134",2004,"winter","CHOWAN",0.0441865079365079,12,6.6625,12,11.9870436507937,12,7.66228174603175,12
"135",2005,"fall","CHOWAN",1.10465277777778,12,16.3548611111111,12,9.04513888888889,12,7.34930555555556,12
"136",2005,"spring","CHOWAN",0.216839285714286,12,19.0880952380952,12,8.58910714285714,12,7.21720238095238,12
"137",2005,"summer","CHOWAN",0.392526455026455,9,28.6314814814815,9,6.77883597883598,9,7.19391534391534,9
"138",2005,"winter","CHOWAN",0.0572222222222222,12,7.70138888888889,12,11.5236111111111,12,7.34226190476191,12
"139",2006,"fall","CHOWAN",0.0470833333333333,12,13.7941071428571,12,8.36097222222222,12,6.84002976190476,8
"140",2006,"spring","CHOWAN",0.527708333333333,12,20.0785119047619,12,8.10976190476191,12,7.23555555555556,12
"141",2006,"summer","CHOWAN",0.319573412698413,12,26.2188095238095,12,7.43507936507936,12,7.34843253968254,12
"142",2006,"winter","CHOWAN",0.376319444444444,12,8.90277777777778,12,11.2006944444444,12,7.44166666666667,12
"143",2007,"fall","CHOWAN",2.09625,2,14.6284722222222,12,9.65138888888889,12,7.67777777777778,12
"144",2007,"spring","CHOWAN",0.109166666666667,12,19.4520833333333,12,8.55069444444444,12,7.14097222222222,12
"145",2007,"summer","CHOWAN",1.50954365079365,12,26.7383134920635,12,7.21132936507937,12,7.43321428571429,12
"146",2007,"winter","CHOWAN",0.0504166666666667,12,7.73849206349206,12,11.6763888888889,12,6.96855158730159,12
"147",2008,"fall","CHOWAN",2.45375,2,12.8518055555556,12,10.1429166666667,12,7.52339285714286,12
"148",2008,"spring","CHOWAN",1.09361111111111,12,22.2487896825397,12,7.69722222222222,12,7.15827380952381,12
"149",2008,"summer","CHOWAN",1.60316666666667,11,26.5547222222222,12,7.65218253968254,12,7.44253968253968,12
"150",2008,"winter","CHOWAN",2.11297619047619,7,9.67152777777778,12,11.0909722222222,12,7.45138888888889,12
"151",2009,"fall","CHOWAN",0.754365079365079,12,15.282996031746,12,8.56271825396825,12,7.11121031746032,12
"152",2009,"spring","CHOWAN",0.686458333333333,12,23.3673611111111,12,8.40555555555556,12,7.42986111111111,12
"153",2009,"summer","CHOWAN",0.959513888888889,12,26.4619047619048,12,8.09345238095238,12,7.36601731601732,11
"154",2009,"winter","CHOWAN",1.95458333333333,6,6.56805555555556,12,11.4583333333333,12,7.45277777777778,12
"155",2010,"fall","CHOWAN",0.0796875,8,16.9766369047619,8,8.13288690476191,8,7.16833333333333,7
"156",2010,"spring","CHOWAN",0.0436805555555556,12,23.1894841269841,12,8.29206349206349,12,7.42123015873016,12
"157",2010,"summer","CHOWAN",0.331541666666667,12,28.29875,12,7.81166666666667,12,7.42361111111111,12
"158",2010,"winter","CHOWAN",0.0402777777777778,12,5.13958333333333,12,12.09375,12,7.07638888888889,12
"159",2011,"fall","CHOWAN",0.969206349206349,12,13.7578968253968,12,9.47827380952381,12,7.53698412698413,12
"160",2011,"spring","CHOWAN",0.930531746031746,9,23.655873015873,9,7.90460317460317,9,7.57301587301587,9
"161",2011,"summer","CHOWAN",1.19635714285714,8,25.5535714285714,8,7.42723214285714,8,7.62387755102041,7
"162",2011,"winter","CHOWAN",1.36867261904762,12,7.5615873015873,12,11.8790873015873,12,7.56412698412698,12
