Year,Annual Average Flow (m3/s),Winter Average Flow (m3/s),Spring Average Flow (m3/s),Summer Average Flow (m3/s),Autumn Average Flow (m3/s)
1974,159.1848974,226.7329889,164.7200288,150.707181,96.10799216
1975,239.6170764,472.9227975,143.2147843,229.209174,117.1455623
1976,111.8776163,195.9370182,102.5163191,30.71516014,119.1539038
1977,122.128774,231.0591737,94.86765882,53.4301956,111.2298037
1978,196.7445952,373.9900289,271.5958976,83.53192666,62.52729028
1979,221.4697017,408.3446562,199.6213199,124.65322,157.0846273
1980,125.354501,280.1594098,138.5039191,36.14645439,48.43381117
1981,73.17468762,102.7461039,38.92259444,86.84191977,64.45868388
1982,173.679011,312.9609324,227.3313767,68.2115894,89.82319122
1983,184.1864229,369.0125566,198.5726631,35.73955362,137.59525
1984,218.8017961,406.6797017,244.2779202,179.6334552,46.93517286
1985,129.1206301,201.9179925,48.09071801,107.4101074,159.765494
1986,60.72489518,102.2175228,37.98315973,51.99003772,51.36368139
1987,147.4224673,360.470308,147.7392563,40.64575504,45.46946826
1988,88.44279542,152.4379857,70.04840974,57.47642671,74.30402046
1989,237.9957236,288.6682245,281.4009946,154.3452802,229.1417676
1990,157.7948894,270.2308112,190.9084441,37.14400764,135.7004836
1991,132.2024339,270.3409323,132.980267,78.75469,49.74531207
1992,126.7482933,149.3853674,138.8241173,65.03240781,154.1285948
1993,174.3975607,394.3813046,209.6629093,39.3585697,59.35303336
1994,129.6412722,255.8836091,103.7569704,90.85398599,70.5335708
1995,211.2193137,329.192778,139.3313311,143.6636733,234.4727217
1996,211.3902097,259.8272918,118.4232297,260.0702274,206.7560693
1997,145.2836533,269.9570817,150.2918177,79.44014236,84.21029981
1998,226.7915621,648.2292471,194.2109352,36.0784324,37.45518516
1999,163.8866576,182.3384664,82.56538935,180.8215316,209.3384426
2000,124.7666556,266.4521891,90.48228172,90.00478839,53.2947672
2001,79.08313338,111.32894,117.7573171,57.38131904,30.98632472
2002,102.2903018,107.5269315,43.40599139,26.58797978,231.1140975
2003,274.4212735,334.4974672,376.7945377,277.4804711,111.331375
2004,128.7882668,150.3873481,88.24276146,160.851999,115.465019
2005,110.0062933,200.0805438,102.7739713,50.62036418,88.42981771
2006,128.5972727,87.69098057,116.2509231,81.69779528,227.7259252
2007,95.03420689,234.8976796,95.86341605,22.4090904,30.01616494
2008,107.9489247,103.8073806,107.546449,122.760916,97.63156161
2009,128.6803613,184.1822077,105.4951891,34.6881368,191.3104608
2010,123.4519854,322.1135664,85.39738517,36.72417961,53.47790333
2011,56.56999923,74.47015963,65.84226894,32.19594653,54.26154127
2012,60.93909128,90.68921252,53.80480867,52.85247037,46.65569789
2013,132.246422,122.6497006,171.2297918,176.2695985,59.05170518
2014,138.3664296,297.6855669,143.9709375,51.70379134,63.62980054
2015,164.8306559,211.1083823,106.7171699,38.41026314,303.4611776
2016,187.1938029,319.606955,116.3013333,85.66769402,228.7718018
2017,91.51655635,105.492838,181.7910419,46.79235746,33.27506461
2018,257.4004438,104.8339994,131.1471402,340.5374711,448.3941843
2019,191.151281,414.281755,205.3002479,56.28219449,93.74538224
2020,250.6772163,309.9014337,256.3203592,142.6030227,295.5649498
