Year,Annual Average Flow (m3/s),Winter Average Flow (m3/s),Spring Average Flow (m3/s),Summer Average Flow (m3/s),Autumn Average Flow (m3/s)
1974,54.56359074,116.7975523,47.36068686,33.6692411,21.70150245
1975,127.1338051,201.1053202,73.59824908,148.25793,86.59988947
1976,54.10918465,127.3044646,28.81208163,6.524240043,54.31658474
1977,60.41012938,103.2569041,38.25091892,4.507557378,96.31572777
1978,102.4933114,203.3820136,133.1236645,41.99295466,34.00078412
1979,137.3379255,195.3434784,128.5774412,89.19430742,137.4022425
1980,55.83612586,155.6812809,59.79547526,3.846212745,5.149844316
1981,18.18558515,15.46019975,37.96549676,6.227495547,13.24490008
1982,72.48110131,139.9799158,44.23309246,46.5681835,60.30353544
1983,77.62660913,159.041451,109.2708605,3.807456901,40.50051518
1984,85.25096684,180.698938,112.3401158,35.39214313,13.90459565
1985,63.63446182,87.38935736,14.75413119,23.23440646,129.1450551
1986,40.48053446,87.40249154,24.94643945,22.62825342,27.79614714
1987,80.17413283,182.4820814,110.9702108,8.791457786,21.01160717
1988,36.16357737,76.81090415,42.18798629,9.466258624,16.69646188
1989,93.37025658,125.3814806,153.5865009,35.56077592,60.30268943
1990,60.48526518,119.7737623,70.92488632,37.05354718,15.59121947
1991,36.41615902,84.48634042,37.29412064,14.3489122,10.58980984
1992,49.48058831,80.08197379,50.86548391,33.0716041,34.25096841
1993,66.73169894,163.83128,85.58882507,4.1062071,15.71631284
1994,52.56085102,141.9262331,49.45626571,7.995679691,12.77420576
1995,30.89077068,63.4139176,24.11916709,14.44887816,22.21454041
1996,101.4975383,123.9213349,65.18474547,78.80237573,137.9307298
1997,55.7118187,118.0617472,65.63542893,13.84889816,26.76449905
1998,79.71020108,246.6201618,64.02533525,4.39645652,7.256840444
1999,90.53351621,80.24212988,36.73991462,165.0140419,79.32953959
2000,75.30175397,110.6416141,89.02412728,78.3785462,23.69601345
2001,30.1414221,51.60332736,54.19195745,12.33182719,3.166558429
2002,32.62228913,30.23165929,27.1692815,2.245813708,70.73115997
2003,150.6198699,149.2124881,195.175653,151.6466004,106.8984448
2004,105.3489682,80.75504107,63.96728528,171.7066898,104.2497303
2005,44.96829382,88.40981908,54.9628965,6.303792311,31.24968537
2006,83.09885854,45.26121605,25.36537222,65.7676194,194.5511311
2007,31.24252885,77.73306078,40.08755858,2.682520302,5.573781096
2008,38.10375855,42.72029403,70.06945598,7.866401537,32.15651562
2009,64.17677403,62.21158134,56.39852102,5.362217287,132.6075087
2010,56.35640677,148.3178711,43.19695236,4.399496525,31.36743177
2011,50.70711508,42.66742323,20.35943794,79.94182161,59.35513558
2012,34.27115978,55.28558834,25.92057397,33.10519587,22.9109314
2013,70.6320191,115.4966091,82.39922258,43.80894457,41.92652172
2014,56.17292643,103.0615416,77.68424494,16.33877268,28.86028286
2015,62.43651084,97.13181344,49.0862187,36.28614945,67.85099562
2016,64.40187773,128.4394553,61.19733029,23.13065935,45.5012946
2017,33.86002419,47.7287522,49.33780092,25.84995033,12.52961965
2018,75.67374986,64.71917392,71.75917476,42.53328291,121.2191403
2019,68.14381186,160.4005939,73.79436126,11.95663559,28.4906579
