Year,Annual Average Flow (m3/s),Winter Average Flow (m3/s),Spring Average Flow (m3/s),Summer Average Flow (m3/s),Autumn Average Flow (m3/s)
1974,282.6135108,388.7757182,316.419374,253.2055856,174.7286946
1975,383.5201844,489.4203959,499.5915088,309.578529,239.0541274
1976,212.3086544,289.2596783,172.2174555,114.8932332,273.2649009
1977,161.8966648,169.7309329,181.4830528,95.8921949,200.8636843
1978,372.9971849,539.7991,607.9913807,189.4623764,160.916296
1979,416.8925091,598.3945393,380.3886982,224.3375698,467.9981446
1980,230.416613,348.835115,360.1989754,126.8356666,88.49453039
1981,98.10691528,99.37929564,114.1170354,92.06664339,87.06637016
1982,241.2205715,347.5443023,277.0994473,155.1009097,187.839
1983,299.7255136,373.199281,508.2165473,109.5059525,211.8437364
1984,317.8640892,490.2601242,429.9679542,223.3066915,131.0139771
1985,233.33048,261.9320137,112.7909054,189.4144286,368.4961321
1986,131.9085334,179.2675271,134.0505347,94.50855765,120.8603401
1987,384.779923,504.4324795,611.9386082,215.6247649,212.194098
1988,146.5998538,194.8876992,171.0021249,91.77553159,129.5241697
1989,338.9204495,267.9011375,435.6394969,301.2732807,350.3752789
1990,331.6838372,458.0343582,420.6988943,145.7408092,305.9755924
1991,245.9485837,431.1995584,340.2724011,107.13596,110.2388693
1992,229.9525933,239.3687991,318.0709771,133.2332764,230.1974791
1993,344.8008985,532.3245668,541.5706204,103.9919526,207.531857
1994,274.2855797,483.1011768,324.5077281,169.0229034,125.5958728
1995,256.8255151,271.6646612,215.3807353,294.4783889,245.6503782
1996,398.0086363,436.0480696,325.0790374,415.0603203,415.4678769
1997,265.3682225,446.9083316,360.9711085,129.5721175,129.0070181
1998,339.6084586,692.5561535,490.0281381,111.4341401,73.72317528
1999,165.6189925,181.700689,157.2006782,147.1038974,176.7288039
2000,179.7256927,207.4689678,267.3491027,148.898516,96.44017005
2001,141.5628459,126.3961449,247.0070307,124.4245759,69.24005359
2002,118.5538198,62.82585226,74.61013478,91.74470799,243.3454578
2003,517.0889018,427.6881033,749.8838249,520.490739,370.879824
2004,280.2113468,266.1199222,248.198124,259.6237445,346.402459
2005,216.6473391,306.429118,249.2680304,129.8187063,183.3798523
2006,190.0532419,161.5597102,113.9716112,162.3136326,320.9216146
2007,179.0865326,327.7394149,234.0054171,89.53910801,68.89071944
2008,132.1830469,83.98306905,238.3127426,110.6224519,96.44359489
2009,255.6730783,202.3563078,328.3406938,112.9479214,378.6781953
2010,275.7548287,582.8573129,266.4246204,108.437401,151.874706
2011,156.4547461,143.4212761,212.8115749,110.0128295,159.902542
2012,135.5474047,176.3343446,184.440011,109.3723836,73.01765728
2013,241.4795461,246.6048444,346.5014032,238.4308056,135.6340926
2014,245.2571216,374.375601,330.3766323,127.9144927,152.0938961
2015,250.0472877,229.8527874,214.8198135,122.5066629,432.1879686
2016,327.2753378,568.5641171,350.9818527,165.3103717,227.1253934
2017,222.2869417,186.5320032,503.8122723,117.742704,83.34356399
2018,75.67374986,64.71917392,71.75917476,42.53328291,121.2191403
2019,68.14381186,160.4005939,73.79436126,11.95663559,28.4906579
