Year,Month,Monthly_MSL,id
1978,6,-0.101,Duck
1978,7,-0.007,Duck
1978,8,-0.086,Duck
1978,9,0.013,Duck
1978,10,-0.093,Duck
1978,11,0.068,Duck
1978,12,-0.118,Duck
1979,1,-0.053,Duck
1979,2,0.001,Duck
1979,3,-0.093,Duck
1979,4,-0.06,Duck
1979,5,-0.114,Duck
1979,6,-0.055,Duck
1979,7,-0.031,Duck
1979,8,-0.044,Duck
1979,9,-0.106,Duck
1979,10,-0.151,Duck
1979,11,-0.075,Duck
1979,12,-0.09,Duck
1980,1,0.026,Duck
1980,2,0.019,Duck
1980,3,-0.102,Duck
1980,4,-0.054,Duck
1980,5,-0.017,Duck
1980,6,-0.104,Duck
1980,7,-0.101,Duck
1980,8,-0.123,Duck
1980,9,-0.158,Duck
1980,10,-0.151,Duck
1980,11,-0.115,Duck
1980,12,-0.093,Duck
1981,1,-0.105,Duck
1981,2,-0.161,Duck
1981,3,-0.056,Duck
1981,4,-0.218,Duck
1981,5,-0.029,Duck
1981,6,-0.08,Duck
1981,7,-0.046,Duck
1981,8,-0.004,Duck
1981,9,-0.048,Duck
1981,10,-0.099,Duck
1981,11,-0.005,Duck
1981,12,-0.06,Duck
1982,1,-0.145,Duck
1982,2,-0.127,Duck
1982,3,-0.056,Duck
1982,4,-0.179,Duck
1982,5,-0.09,Duck
1982,6,0.028,Duck
1982,7,-0.071,Duck
1982,8,-0.086,Duck
1982,9,-0.082,Duck
1982,10,0.03,Duck
1982,11,-0.099,Duck
1982,12,-0.005,Duck
1983,1,0.054,Duck
1983,2,0.138,Duck
1983,3,0.157,Duck
1983,4,0.016,Duck
1983,5,-0.093,Duck
1983,6,-0.006,Duck
1983,7,0.022,Duck
1983,8,0.003,Duck
1983,9,0.003,Duck
1983,10,0.051,Duck
1983,11,0.004,Duck
1983,12,0.016,Duck
1984,1,0.063,Duck
1984,2,-0.018,Duck
1984,3,0.045,Duck
1984,4,0.105,Duck
1984,5,-0.093,Duck
1984,6,-0.07,Duck
1984,7,-0.101,Duck
1984,8,0.021,Duck
1984,9,0.016,Duck
1984,10,0.042,Duck
1984,11,0.053,Duck
1984,12,-0.029,Duck
1985,1,-0.01,Duck
1985,2,-0.076,Duck
1985,3,-0.105,Duck
1985,4,-0.096,Duck
1985,5,-0.044,Duck
1985,6,-0.077,Duck
1985,7,-0.037,Duck
1985,8,-0.034,Duck
1985,9,-0.088,Duck
1985,10,-0.066,Duck
1985,11,0.062,Duck
1985,12,-0.042,Duck
1986,1,-0.175,Duck
1986,2,0.046,Duck
1986,3,-0.141,Duck
1986,4,0.077,Duck
1986,5,-0.014,Duck
1986,6,-0.116,Duck
1986,7,-0.004,Duck
1986,8,-0.013,Duck
1986,9,-0.097,Duck
1986,10,-0.005,Duck
1986,11,-0.002,Duck
1986,12,0.035,Duck
1987,1,0.078,Duck
1987,2,0.049,Duck
1987,3,0.127,Duck
1987,4,0.099,Duck
1987,5,-0.017,Duck
1987,6,-0.022,Duck
1987,7,0.034,Duck
1987,8,0.031,Duck
1987,9,-0.051,Duck
1987,10,-0.054,Duck
1987,11,-0.048,Duck
1987,12,0.01,Duck
1988,1,-0.001,Duck
1988,2,-0.005,Duck
1988,3,-0.08,Duck
1988,4,0.093,Duck
1988,5,-0.026,Duck
1988,6,-0.037,Duck
1988,7,-0.123,Duck
1988,8,-0.126,Duck
1988,9,-0.192,Duck
1988,10,-0.169,Duck
1988,11,-0.148,Duck
1988,12,-0.142,Duck
1989,1,-0.038,Duck
1989,2,-0.015,Duck
1989,3,-0.001,Duck
1989,4,-0.087,Duck
1989,5,-0.065,Duck
1989,6,-0.067,Duck
1989,7,-0.022,Duck
1989,8,0.025,Duck
1989,9,-0.024,Duck
1989,10,-0.093,Duck
1989,11,-0.118,Duck
1989,12,-0.036,Duck
1990,1,-0.151,Duck
1990,2,-0.088,Duck
1990,3,-0.086,Duck
1990,4,-0.096,Duck
1990,5,-0.02,Duck
1990,6,-0.055,Duck
1990,7,-0.022,Duck
1990,8,0.015,Duck
1990,9,-0.03,Duck
1990,10,-0.072,Duck
1990,11,-0.035,Duck
1990,12,-0.054,Duck
1991,1,0.069,Duck
