"","year","maxgusts","meangusts","angle","id","name","direction"
"1",1995,22.9,8.06652997655413,200.794197147458,8651370,"duck","S"
"2",1996,28.2,8.12592607891699,170.801134662307,8651370,"duck","S"
"3",1997,31.1,7.82397960023791,169.458418473569,8651370,"duck","S"
"4",1998,358.5,7.84447795692147,163.762964470528,8651370,"duck","S"
"5",1999,40.7,8.31348904179234,183.804631134314,8651370,"duck","S"
"6",2000,31.2,8.23820965429295,166.779968803112,8651370,"duck","S"
"7",2001,22.9,7.7241097630779,156.21488633463,8651370,"duck","S"
"8",2002,28.2,8.03555098415088,156.248112844396,8651370,"duck","S"
"9",2003,36.9,7.45062469283937,161.944572105632,8651370,"duck","S"
"10",2004,33.2,7.42823767754977,167.681372840977,8651370,"duck","S"
"11",2005,26.1,7.22862431642211,158.212112639197,8651370,"duck","S"
"12",2006,31.6,6.89129189690073,171.159923266393,8651370,"duck","S"
"13",2007,24.8,6.97557562985516,169.051868832506,8651370,"duck","S"
"14",2008,23.6,6.88560551048628,171.819177121659,8651370,"duck","S"
"15",2009,27.6,7.45681016366335,172.037781333149,8651370,"duck","S"
"16",2010,30.1,7.14034806507231,185.49606588903,8651370,"duck","S"
"17",2011,34.4,7.19731441156359,160.186386483698,8651370,"duck","S"
"18",2012,26.5,7.19765742611135,162.809640405012,8651370,"duck","S"
"19",2013,25.6,7.25006556628974,163.610562451467,8651370,"duck","S"
"20",2014,25.9,7.37817597149515,162.383680735218,8651370,"duck","S"
"21",2015,24.2,7.23719690728468,155.003760133365,8651370,"duck","S"
"22",2016,35.9,7.47460847279733,158.51344821141,8651370,"duck","S"
"23",2017,23.7,7.29715882932034,165.255755726215,8651370,"duck","S"
"24",2019,9,7.36,238.2,8651370,"duck","W"
"25",2020,29.1,7.3689424537607,163.039576088756,8651370,"duck","S"
"26",2021,22.4,7.11565531475748,165.696554152522,8651370,"duck","S"
"27",2022,25.5,7.45155238378854,160.933682038628,8651370,"duck","S"
"28",2023,25.3,7.11986604239823,161.257738327481,8651370,"duck","S"
