"","year","season","meantemp","sdtemp","meansal","sdsal","meanDO","sdDO","meanpH","sdpH","samplesize"
"1",2003,"fall",16.79,4.25301099976271,2.895,2.30216731776262,8.54,1.90017543049758,7.27435897435897,NA,40
"2",2003,"summer",27.5447368421053,1.98939042251655,4.27105263157895,3.56620078672095,7.06315789473684,2.05602884781418,7.35789473684211,0.607890272347563,38
"3",2004,"fall",17.7375,4.2326379905414,5.68,3.2171973788313,8.4,1.23433777532317,7.36,NA,40
"4",2004,"spring",23.5520833333333,5.13055053175244,6.01666666666667,5.16079052716231,9.53333333333333,2.26606166310472,7.79166666666667,0.503110889740907,48
"5",2004,"summer",27.8520833333333,2.20887856242621,7.74791666666667,5.40240252241393,7.49791666666667,1.64982134214372,8.14042553191489,NA,48
"6",2004,"winter",11.9166666666667,2.19181613531211,2.50833333333333,2.03361247786911,13.2136363636364,NA,7.52916666666667,0.548895465352063,24
"7",2005,"fall",17.3717948717949,5.22609589202156,5.15128205128205,3.59333240694131,8.15384615384615,2.17447466781558,8.35128205128205,0.141182589637441,39
"8",2005,"spring",22.1583333333333,4.36523174951232,3.99375,3.44144985836777,8.84166666666667,1.76488602890823,7.16666666666667,NA,48
"9",2005,"summer",30.165,1.42856391939418,6.38,3.14978224725586,7.4775,1.85658737113734,8.53125,NA,40
"10",2005,"winter",10.8565217391304,2.07338679611984,5.18695652173913,3.39388545741068,10.9086956521739,1.30972344182699,NA,NA,23
"11",2006,"fall",16.6410256410256,4.54525304423938,5.41025641025641,4.28244856618235,8.67179487179487,1.24751304559126,7.32631578947368,NA,39
"12",2006,"spring",22.9086956521739,NA,7.9804347826087,NA,6.31363636363636,NA,7.96666666666667,NA,48
"13",2006,"summer",28.2586956521739,NA,7.89347826086957,NA,6.74565217391304,NA,8.09411764705882,NA,48
"14",2006,"winter",12.0045454545455,NA,7.99090909090909,NA,10.6272727272727,NA,8.11304347826087,NA,24
