"","year","maxgusts","meangusts","angle","id","name","direction"
"1",2007,40,7.17565217391304,165.233816425121,8652587,"oregon","S"
"2",2008,50.1,7.53611518401611,172.314141195583,8652587,"oregon","S"
"3",2009,21.2,7.2025347743852,178.414675994361,8652587,"oregon","S"
"4",2010,31.6,7.14898091837423,185.730046010174,8652587,"oregon","S"
"5",2011,36.1,7.14734660009437,166.565371794178,8652587,"oregon","S"
"6",2012,24.5,6.91035944114224,178.402075986067,8652587,"oregon","S"
"7",2013,22.4,6.79339323766953,175.58943074853,8652587,"oregon","S"
"8",2014,26.1,6.76734951821321,176.49113552195,8652587,"oregon","S"
"9",2015,22,6.56883447166294,171.816104450443,8652587,"oregon","S"
"10",2016,30,6.78662634584493,175.941916609675,8652587,"oregon","S"
"11",2017,21.1,6.82281204798775,173.15511996937,8652587,"oregon","S"
"12",2018,28.2,6.82726679712981,171.080477324938,8652587,"oregon","S"
"13",2019,23.6,6.91678153478662,172.713228944707,8652587,"oregon","S"
"14",2020,24.3,6.72454679289587,173.218740454129,8652587,"oregon","S"
"15",2021,21.3,6.61899993683109,173.750882856472,8652587,"oregon","S"
"16",2022,24.8,7.02327794905931,164.770905300774,8652587,"oregon","S"
"17",2023,18.7,6.79913025100793,166.821758356093,8652587,"oregon","S"
