"","year","maxgusts","meangusts","angle","id","name","direction"
"1",2010,35.1,6.70452376108546,179.335531811539,8654467,"hatteras","S"
"2",2011,32.4,6.73207964539713,163.380543574287,8654467,"hatteras","S"
"3",2012,29.2,6.95515552413249,171.414312197978,8654467,"hatteras","S"
"4",2013,25,6.92164126238878,172.960961206088,8654467,"hatteras","S"
"5",2014,35.1,7.14476274708415,171.400857297073,8654467,"hatteras","S"
"6",2015,25.3,6.89655300455372,159.746654726317,8654467,"hatteras","S"
"7",2016,34,7.34236813970064,173.599355547636,8654467,"hatteras","S"
"8",2017,22.2,6.97307592001011,175.102467468009,8654467,"hatteras","S"
"9",2018,26.6,7.12115305892242,166.851028864756,8654467,"hatteras","S"
"10",2019,41.1,6.8565188900779,162.99723873663,8654467,"hatteras","S"
"11",2020,24,7.04723410152847,171.958021501544,8654467,"hatteras","S"
"12",2021,22.4,6.77002591350323,173.853263481814,8654467,"hatteras","S"
"13",2022,25,7.12032648401826,163.970388127854,8654467,"hatteras","S"
"14",2023,20.3,6.75294689760075,174.044785888367,8654467,"hatteras","S"
