"","direction","nofdays","month","year","id"
"1","NW",1,10,2008,"beaufwind.csv"
"2","SE",1,10,2008,"beaufwind.csv"
"3","SW",1,10,2008,"beaufwind.csv"
"4","W",2,10,2008,"beaufwind.csv"
"5","E",3,11,2008,"beaufwind.csv"
"6","NE",3,11,2008,"beaufwind.csv"
"7","NW",6,11,2008,"beaufwind.csv"
"8","S",3,11,2008,"beaufwind.csv"
"9","SE",1,11,2008,"beaufwind.csv"
"10","SW",8,11,2008,"beaufwind.csv"
"11","W",6,11,2008,"beaufwind.csv"
"12","E",5,12,2008,"beaufwind.csv"
"13","NE",2,12,2008,"beaufwind.csv"
"14","NW",2,12,2008,"beaufwind.csv"
"15","S",6,12,2008,"beaufwind.csv"
"16","SE",5,12,2008,"beaufwind.csv"
"17","SW",7,12,2008,"beaufwind.csv"
"18","W",4,12,2008,"beaufwind.csv"
"19","NW",1,10,2008,"beaufwind.csv"
"20","SE",1,10,2008,"beaufwind.csv"
"21","SW",1,10,2008,"beaufwind.csv"
"22","W",2,10,2008,"beaufwind.csv"
"23","E",3,11,2008,"beaufwind.csv"
"24","NE",3,11,2008,"beaufwind.csv"
"25","NW",6,11,2008,"beaufwind.csv"
"26","S",3,11,2008,"beaufwind.csv"
"27","SE",1,11,2008,"beaufwind.csv"
"28","SW",8,11,2008,"beaufwind.csv"
"29","W",6,11,2008,"beaufwind.csv"
"30","E",5,12,2008,"beaufwind.csv"
"31","NE",2,12,2008,"beaufwind.csv"
"32","NW",2,12,2008,"beaufwind.csv"
"33","S",6,12,2008,"beaufwind.csv"
"34","SE",5,12,2008,"beaufwind.csv"
"35","SW",7,12,2008,"beaufwind.csv"
"36","W",4,12,2008,"beaufwind.csv"
"37","NW",1,10,2008,"beaufwind.csv"
"38","SE",1,10,2008,"beaufwind.csv"
"39","SW",1,10,2008,"beaufwind.csv"
"40","W",2,10,2008,"beaufwind.csv"
"41","E",3,11,2008,"beaufwind.csv"
"42","NE",3,11,2008,"beaufwind.csv"
"43","NW",6,11,2008,"beaufwind.csv"
"44","S",3,11,2008,"beaufwind.csv"
"45","SE",1,11,2008,"beaufwind.csv"
"46","SW",8,11,2008,"beaufwind.csv"
"47","W",6,11,2008,"beaufwind.csv"
"48","E",5,12,2008,"beaufwind.csv"
"49","NE",2,12,2008,"beaufwind.csv"
"50","NW",2,12,2008,"beaufwind.csv"
"51","S",6,12,2008,"beaufwind.csv"
"52","SE",5,12,2008,"beaufwind.csv"
"53","SW",7,12,2008,"beaufwind.csv"
"54","W",4,12,2008,"beaufwind.csv"
"55","NW",1,10,2008,"beaufwind.csv"
"56","SE",1,10,2008,"beaufwind.csv"
"57","SW",1,10,2008,"beaufwind.csv"
"58","W",2,10,2008,"beaufwind.csv"
"59","E",3,11,2008,"beaufwind.csv"
"60","NE",3,11,2008,"beaufwind.csv"
"61","NW",6,11,2008,"beaufwind.csv"
"62","S",3,11,2008,"beaufwind.csv"
"63","SE",1,11,2008,"beaufwind.csv"
"64","SW",8,11,2008,"beaufwind.csv"
"65","W",6,11,2008,"beaufwind.csv"
"66","E",5,12,2008,"beaufwind.csv"
"67","NE",2,12,2008,"beaufwind.csv"
"68","NW",2,12,2008,"beaufwind.csv"
"69","S",6,12,2008,"beaufwind.csv"
"70","SE",5,12,2008,"beaufwind.csv"
"71","SW",7,12,2008,"beaufwind.csv"
"72","W",4,12,2008,"beaufwind.csv"
"73","E",1,1,2009,"beaufwind.csv"
"74","N",2,1,2009,"beaufwind.csv"
"75","NE",3,1,2009,"beaufwind.csv"
"76","NW",1,1,2009,"beaufwind.csv"
"77","S",8,1,2009,"beaufwind.csv"
"78","SE",4,1,2009,"beaufwind.csv"
"79","SW",6,1,2009,"beaufwind.csv"
"80","W",6,1,2009,"beaufwind.csv"
"81","E",2,2,2009,"beaufwind.csv"
"82","NE",2,2,2009,"beaufwind.csv"
"83","NW",4,2,2009,"beaufwind.csv"
"84","S",5,2,2009,"beaufwind.csv"
"85","SE",4,2,2009,"beaufwind.csv"
"86","SW",7,2,2009,"beaufwind.csv"
"87","W",4,2,2009,"beaufwind.csv"
"88","E",3,3,2009,"beaufwind.csv"
"89","NE",10,3,2009,"beaufwind.csv"
"90","NW",2,3,2009,"beaufwind.csv"
"91","S",4,3,2009,"beaufwind.csv"
"92","SE",3,3,2009,"beaufwind.csv"
"93","SW",8,3,2009,"beaufwind.csv"
"94","W",1,3,2009,"beaufwind.csv"
"95","E",3,4,2009,"beaufwind.csv"
"96","S",5,4,2009,"beaufwind.csv"
"97","SE",3,4,2009,"beaufwind.csv"
"98","SW",14,4,2009,"beaufwind.csv"
"99","W",5,4,2009,"beaufwind.csv"
"100","E",2,5,2009,"beaufwind.csv"
"101","NE",5,5,2009,"beaufwind.csv"
"102","S",10,5,2009,"beaufwind.csv"
