"","direction","nofdays","season","year","id"
"1","E",8,"fall",2008,"beaufwind.csv"
"2","NE",5,"fall",2008,"beaufwind.csv"
"3","NW",9,"fall",2008,"beaufwind.csv"
"4","S",9,"fall",2008,"beaufwind.csv"
"5","SE",7,"fall",2008,"beaufwind.csv"
"6","SW",16,"fall",2008,"beaufwind.csv"
"7","W",12,"fall",2008,"beaufwind.csv"
"8","E",6,"winter",2009,"beaufwind.csv"
"9","N",2,"winter",2009,"beaufwind.csv"
"10","NE",15,"winter",2009,"beaufwind.csv"
"11","NW",7,"winter",2009,"beaufwind.csv"
"12","S",17,"winter",2009,"beaufwind.csv"
"13","SE",11,"winter",2009,"beaufwind.csv"
"14","SW",21,"winter",2009,"beaufwind.csv"
"15","W",11,"winter",2009,"beaufwind.csv"
"16","E",10,"spring",2009,"beaufwind.csv"
"17","NE",5,"spring",2009,"beaufwind.csv"
"18","S",21,"spring",2009,"beaufwind.csv"
"19","SE",11,"spring",2009,"beaufwind.csv"
"20","SW",36,"spring",2009,"beaufwind.csv"
"21","W",8,"spring",2009,"beaufwind.csv"
"22","E",9,"summer",2009,"beaufwind.csv"
"23","N",1,"summer",2009,"beaufwind.csv"
"24","NE",11,"summer",2009,"beaufwind.csv"
"25","NW",1,"summer",2009,"beaufwind.csv"
"26","S",15,"summer",2009,"beaufwind.csv"
"27","SE",11,"summer",2009,"beaufwind.csv"
"28","SW",35,"summer",2009,"beaufwind.csv"
"29","W",9,"summer",2009,"beaufwind.csv"
"30","E",13,"fall",2009,"beaufwind.csv"
"31","N",5,"fall",2009,"beaufwind.csv"
"32","NE",13,"fall",2009,"beaufwind.csv"
"33","NW",10,"fall",2009,"beaufwind.csv"
"34","S",14,"fall",2009,"beaufwind.csv"
"35","SE",13,"fall",2009,"beaufwind.csv"
"36","SW",13,"fall",2009,"beaufwind.csv"
"37","W",11,"fall",2009,"beaufwind.csv"
"38","E",6,"winter",2010,"beaufwind.csv"
