County,Beaufort,Bertie,Brunswick,Camden,Carteret,Chowan,Craven,Currituck,Dare,Gates,Hertford,Hyde,New Hanover,Onslow,Pamlico,Pasquotank,Pender,Perquimans,Tyrrell,Washington
1970,"35,980","20,528","24,223","5,453","31,603","10,764","62,554","6,976","6,995","8,524","24,439","5,571","82,996","103,126","9,467","26,824","18,149","8,351","3,806","14,038"
1975,"38,100","20,900","33,900","5,800","37,400","11,400","69,500","10,000","9,800","8,700","23,100","5,700","98,600","112,700","9,500","27,500","20,200","9,100","3,900","15,100"
1980,"40,355","21,024","35,777","5,829","41,092","12,558","71,043","11,089","13,377","8,875","23,368","5,873","103,471","112,784","10,398","28,462","22,262","9,486","3,975","14,801"
1980,"40,355","21,024","35,777","5,829","41,092","12,558","71,043","11,089","13,377","8,875","23,368","5,873","103,471","112,784","10,398","28,462","22,262","9,486","3,975","14,801"
1981,"41,087","21,010","37,156","5,681","42,443","12,562","72,218","11,187","14,062","8,837","23,291","5,921","105,338","116,051","10,439","28,529","22,546","9,498","4,008","14,605"
1982,"41,607","21,044","38,712","5,675","43,762","12,584","73,758","11,534","14,589","8,935","23,259","5,879","107,461","118,823","10,636","28,775","22,901","9,420","4,060","14,477"
1983,"42,021","21,130","40,539","5,714","45,503","12,685","74,833","12,298","15,115","8,863","23,411","5,864","108,560","124,148","10,720","28,763","23,240","9,473","3,993","14,423"
1984,"42,370","21,022","42,855","5,705","47,101","12,900","76,985","12,629","15,976","8,983","23,317","5,861","110,131","128,217","10,923","29,112","23,757","9,646","4,010","14,279"
1985,"42,211","21,001","44,840","5,598","48,335","13,059","79,428","12,544","17,021","9,115","23,362","5,834","111,994","133,152","11,040","29,491","24,394","9,946","4,020","14,285"
1986,"41,975","20,807","46,819","5,573","49,681","13,232","79,800","12,921","18,380","9,222","23,373","5,758","114,255","138,050","11,117","30,069","25,201","10,041","3,953","14,226"
1987,"41,904","20,678","48,466","5,642","50,622","13,409","79,583","13,121","19,576","9,269","23,034","5,626","115,922","141,090","11,092","30,369","26,231","10,177","3,969","14,292"
1988,"42,172","20,523","49,579","5,706","51,181","13,508","80,754","13,325","20,957","9,334","22,795","5,504","116,954","142,642","11,185","30,649","27,014","10,391","3,915","14,267"
1989,"42,180","20,498","50,182","5,803","51,595","13,463","81,097","13,618","22,144","9,325","22,578","5,490","118,238","149,130","11,281","31,010","27,988","10,450","3,908","14,111"
1990,"42,283","20,388","50,985","5,904","52,553","13,506","81,613","13,736","22,746","9,305","22,523","5,411","120,284","149,838","11,368","31,298","28,855","10,447","3,856","13,997"
1991,"42,673","20,459","52,402","6,025","53,368","13,660","83,304","14,176","23,092","9,364","22,393","5,380","125,530","151,342","11,475","31,636","30,040","10,484","3,791","14,150"
1992,"42,945","20,320","54,173","6,146","54,434","13,807","84,429","14,583","23,567","9,524","22,457","5,425","128,946","146,370","11,603","32,317","30,958","10,501","3,852","14,275"
1993,"43,349","20,445","56,333","6,193","55,258","13,894","84,211","15,086","24,197","9,696","22,690","5,381","133,358","147,789","11,758","32,966","32,537","10,599","3,921","14,242"
1994,"43,683","20,419","58,348","6,346","55,794","14,011","84,458","15,654","24,963","9,832","22,637","5,346","138,365","146,760","11,926","33,147","33,868","10,633","3,878","14,413"
1995,"43,888","20,439","60,627","6,366","57,035","14,090","85,998","16,047","25,909","9,957","22,693","5,365","143,950","147,258","12,045","33,315","35,194","10,661","3,851","14,313"
1996,"43,882","20,257","63,177","6,482","57,983","14,324","87,618","16,487","26,670","10,086","22,651","5,409","148,892","148,658","12,165","33,947","36,604","10,900","3,820","14,116"
1997,"44,120","20,129","66,021","6,662","58,874","14,391","89,128","16,942","27,721","10,199","22,673","5,484","153,079","147,955","12,163","34,757","38,069","11,000","3,775","13,985"
1998,"44,423","19,964","68,618","6,764","59,224","14,436","90,041","17,471","28,606","10,436","22,578","5,915","156,948","150,773","12,326","35,059","39,585","11,125","4,033","13,804"
1999,"45,001","19,903","71,367","6,801","59,341","14,558","90,843","17,856","29,366","10,479","22,579","5,914","158,774","149,628","12,898","34,913","40,538","11,234","4,150","13,745"
2000,"44,958","19,773","73,143","6,885","59,383","14,526","91,436","18,190","29,967","10,516","22,601","5,826","160,307","150,355","12,934","34,897","41,082","11,368","4,149","13,723"
2001,"45,084","19,829","76,005","7,100","59,790","14,490","93,325","18,714","30,826","10,546","22,812","5,735","164,386","151,068","12,848","34,787","41,610","11,533","4,166","13,589"
2002,"45,216","19,841","78,296","7,412","60,311","14,559","92,633","19,327","31,898","10,616","23,547","5,846","168,147","153,397","12,919","35,281","42,416","11,598","4,235","13,472"
2003,"45,418","19,897","80,584","7,894","61,067","14,529","92,906","20,299","32,697","10,800","23,531","5,750","171,928","150,481","12,913","35,673","42,949","11,696","4,344","13,510"
2004,"45,618","20,018","83,327","8,415","62,127","14,573","93,548","21,469","33,196","10,874","23,729","5,712","178,362","158,837","12,849","36,533","44,136","11,817","4,289","13,393"
2005,"46,059","20,057","87,846","8,991","62,833","14,625","94,729","22,418","33,354","11,294","23,895","5,733","185,412","157,205","13,005","37,741","45,485","12,102","4,280","13,401"
2006,"46,622","19,936","93,938","9,321","64,028","14,835","96,926","22,923","33,463","11,708","23,981","5,621","190,791","161,185","12,995","38,956","47,481","12,494","4,339","13,305"
2007,"46,702","20,927","99,008","9,570","64,258","14,953","97,825","23,216","33,541","12,042","24,240","5,639","194,339","163,256","13,013","40,049","49,181","12,901","4,402","13,176"
2008,"47,297","21,121","103,257","9,802","64,700","14,831","99,423","23,378","33,553","12,098","24,473","5,764","197,709","169,059","13,094","40,554","50,551","13,292","4,353","13,300"
2009,"47,485","21,216","105,777","9,899","65,670","14,915","101,923","23,335","33,679","12,138","24,580","5,774","200,178","173,064","13,136","40,541","51,636","13,273","4,358","13,252"
2010,"47,759","21,282","107,431","9,980","66,469","14,793","103,505","23,547","33,920","12,197","24,669","5,810","202,667","177,772","13,144","40,661","52,217","13,453","4,407","13,228"
2011,"47,675","20,858","110,185","10,024","67,418","14,807","104,831","23,906","34,156","12,043","24,718","5,798","205,966","184,993","13,244","40,266","53,175","13,498","4,337","12,904"
2012,"47,431","20,494","112,013","10,003","67,770","14,695","105,319","24,025","34,383","11,890","24,600","5,689","209,045","190,678","13,019","40,378","53,714","13,587","4,122","12,662"
2013,"47,382","20,326","114,922","10,116","68,388","14,668","104,285","24,253","34,810","11,703","24,575","5,654","212,921","192,354","12,880","39,548","54,779","13,634","4,104","12,669"
2014,"47,339","20,316","118,305","10,278","68,629","14,502","104,055","24,820","34,894","11,633","24,582","5,600","215,963","191,822","12,872","39,436","55,900","13,538","4,120","12,476"
