County,Land Cover,1996 sq.mi,2001 sq.mi,2006 sq.mi,2011 sq.mi,2016 sq.mi,,,,,,,,,,
Beaufort,HID,2.91,2.97,3.08,3.44,3.51,,,,,,,,,,
Beaufort,LID,17.69,18.89,19.03,19.36,19.46,,,,,,,,,,
Beaufort,OSD,6.19,6.61,6.8,7.08,7.2,,,,,,,,,,
Beaufort,GRS,19.66,23.34,46.01,45,41.82,,,,,,,,,,
Beaufort,AGR,230.44,233.03,232.48,231.78,231.75,,,,,,,,,,
Beaufort,FOR,267.69,247.88,213.47,203.66,228.64,,,,,,,,,,
Beaufort,SCB,53.41,69.34,80.26,88.65,67.15,,,,,,,,,,
Beaufort,WDW,198.14,190.16,183.43,182.56,181.69,,,,,,,,,,
Beaufort,EMW,21.65,24.05,29.81,28.49,29.57,,,,,,,,,,
Beaufort,BAR,9.59,9.79,9.2,12.38,10.96,,,,,,,,,,
Beaufort,WTR,131.32,132.62,135.12,136.28,136.93,,,,,,,,,,
Bertie,HID,0.81,0.84,0.88,1,1.06,,,,,,,,,,
Bertie,LID,10.27,10.52,10.57,10.79,10.9,,,,,,,,,,
Bertie,OSD,3.42,3.53,3.59,4.11,4.35,,,,,,,,,,
Bertie,GRS,10.15,12.87,44.33,19.25,23.61,,,,,,,,,,
Bertie,AGR,156.94,157.94,159.67,159.38,159.7,,,,,,,,,,
Bertie,FOR,227.87,220.23,186.83,206.08,222.22,,,,,,,,,,
Bertie,SCB,57.02,60.77,63.38,68.89,47.74,,,,,,,,,,
Bertie,WDW,227.76,226.67,213.86,224.15,223.14,,,,,,,,,,
Bertie,EMW,3.81,4.48,14.61,3.52,4.35,,,,,,,,,,
Bertie,BAR,0.39,0.5,0.59,0.81,0.73,,,,,,,,,,
Bertie,WTR,42.78,42.86,42.9,43.22,43.42,,,,,,,,,,
Bladen,HID,1.63,1.68,1.85,2.06,2.12,,,,,,,,,,
Bladen,LID,16.17,16.67,16.72,16.77,16.85,,,,,,,,,,
Bladen,OSD,3.58,3.66,3.99,4.23,4.42,,,,,,,,,,
Bladen,GRS,18.63,23.82,34.74,33.21,37.51,,,,,,,,,,
Bladen,AGR,177.62,181.72,181.61,180.77,181.7,,,,,,,,,,
Bladen,FOR,289.7,272.89,263.27,274.92,259.53,,,,,,,,,,
Bladen,SCB,68.32,79.96,76.87,66.87,77.18,,,,,,,,,,
Bladen,WDW,290.31,282.07,277.77,275.71,275.49,,,,,,,,,,
Bladen,EMW,6.62,10.15,12.4,15.56,15.62,,,,,,,,,,
Bladen,BAR,0.3,0.28,2.22,2.39,1.88,,,,,,,,,,
Bladen,WTR,14.25,14.22,15.7,14.64,14.85,,,,,,,,,,
Brunswick,HID,5.72,6.17,7.51,8.76,9.5,,,,,,,,,,
Brunswick,LID,36.36,39.97,41.92,43.78,44.53,,,,,,,,,,
Brunswick,OSD,17.59,21.58,22.98,26.02,26.65,,,,,,,,,,
Brunswick,GRS,23.82,28.92,47.73,36.06,29.93,,,,,,,,,,
Brunswick,AGR,52.81,54.65,55.59,55.59,56.35,,,,,,,,,,
Brunswick,FOR,288.05,268.8,240.11,263.94,254.62,,,,,,,,,,
Brunswick,SCB,65.82,74,73.7,56.32,70,,,,,,,,,,
Brunswick,WDW,314.45,301.87,291.82,287.99,282.8,,,,,,,,,,
Brunswick,EMW,41.96,50.42,58.83,61.41,66.45,,,,,,,,,,
Brunswick,BAR,7.87,7.95,13.41,12.79,11.85,,,,,,,,,,
Brunswick,WTR,191.42,191.55,192.28,193.21,193.19,,,,,,,,,,
Camden,HID,0.13,0.14,0.2,0.38,0.38,,,,,,,,,,
Camden,LID,2.97,3.04,3.11,3.23,3.23,,,,,,,,,,
Camden,OSD,0.64,0.7,0.79,0.85,0.85,,,,,,,,,,
Camden,GRS,0.37,0.35,0.39,0.51,0.67,,,,,,,,,,
Camden,AGR,84.7,84.79,84.72,84.97,85.09,,,,,,,,,,
Camden,FOR,11.68,11.56,11.73,11.37,11.23,,,,,,,,,,
Camden,SCB,2.06,2.06,1.78,1.63,1.5,,,,,,,,,,
Camden,WDW,131.55,131.46,130.29,128.19,128.41,,,,,,,,,,
Camden,EMW,5.26,5.2,5.9,7.19,7.18,,,,,,,,,,
Camden,BAR,0.04,0.05,0.31,0.22,0.22,,,,,,,,,,
Camden,WTR,66.31,66.35,66.48,67.16,66.95,,,,,,,,,,
Carteret,HID,4.97,5.1,5.3,5.64,5.69,,,,,,,,,,
Carteret,LID,22.57,23.88,24.29,24.85,24.88,,,,,,,,,,
Carteret,OSD,12.11,13.3,13.58,14.51,14.56,,,,,,,,,,
Carteret,GRS,11.84,11.34,13.35,6.63,7.1,,,,,,,,,,
Carteret,AGR,88.58,88.86,87.87,86.31,86.18,,,,,,,,,,
Carteret,FOR,91.77,86.8,81.88,86.21,91.43,,,,,,,,,,
Carteret,SCB,10.87,17.36,20.25,21.58,16.22,,,,,,,,,,
Carteret,WDW,158.86,157.9,157.35,157.6,158.03,,,,,,,,,,
Carteret,EMW,105.96,103.36,103.64,102.61,102.6,,,,,,,,,,
Carteret,BAR,44.31,43.47,43.7,45.24,44.83,,,,,,,,,,
Carteret,WTR,788.65,789.13,789.3,789.32,788.99,,,,,,,,,,
Chowan,HID,0.53,0.59,0.62,0.65,0.67,,,,,,,,,,
Chowan,LID,5.38,5.57,5.61,5.62,5.62,,,,,,,,,,
Chowan,OSD,2.15,2.28,2.32,2.39,2.4,,,,,,,,,,
Chowan,GRS,1.49,1.36,8.55,3.03,3.1,,,,,,,,,,
Chowan,AGR,76.92,77.32,78.27,77.26,77.58,,,,,,,,,,
Chowan,FOR,34.79,33.95,27.21,29.12,33.78,,,,,,,,,,
Chowan,SCB,6.86,7.09,6.27,10.82,5.78,,,,,,,,,,
Chowan,WDW,42.91,42.72,40.45,41.64,40.95,,,,,,,,,,
Chowan,EMW,1.14,1.05,2.59,1.3,2,,,,,,,,,,
Chowan,BAR,0.16,0.3,0.28,0.32,0.31,,,,,,,,,,
Chowan,WTR,60.98,61.08,61.15,61.15,61.11,,,,,,,,,,
Columbus,HID,2.56,2.58,2.7,2.82,2.85,,,,,,,,,,
Columbus,LID,22.59,23.21,23.26,22.67,22.8,,,,,,,,,,
Columbus,OSD,5.38,5.53,5.6,5.84,6.01,,,,,,,,,,
Columbus,GRS,19.16,28.6,33.68,24.4,21.7,,,,,,,,,,
Columbus,AGR,237.48,239.93,240.7,241.47,242.53,,,,,,,,,,
Columbus,FOR,251.97,226.21,214.49,245.87,240.06,,,,,,,,,,
Columbus,SCB,58.54,75.43,81.13,57.91,65.54,,,,,,,,,,
Columbus,WDW,326.43,314.64,313.88,311.65,313.78,,,,,,,,,,
Columbus,EMW,10.73,18.72,17.08,19.66,17.8,,,,,,,,,,
Columbus,BAR,0.32,0.32,0.94,1.98,1.39,,,,,,,,,,
Columbus,WTR,18.45,18.46,20.15,19.34,19.13,,,,,,,,,,
Craven,HID,6.37,6.48,6.89,7.47,7.61,,,,,,,,,,
Craven,LID,25.44,27.06,27.69,28.88,29.03,,,,,,,,,,
Craven,OSD,16.09,17.31,17.78,18.8,18.87,,,,,,,,,,
Craven,GRS,15.44,25.85,40.15,23.13,25.37,,,,,,,,,,
Craven,AGR,113.22,113.92,113.3,111.61,111.39,,,,,,,,,,
Craven,FOR,201.28,189.51,165.47,163.31,180.39,,,,,,,,,,
Craven,SCB,36.67,41.74,49.97,66.87,48.17,,,,,,,,,,
Craven,WDW,279.14,267.56,264.16,265.76,264.66,,,,,,,,,,
Craven,EMW,9.86,13.54,16,11.8,14.66,,,,,,,,,,
Craven,BAR,1.38,1.28,2.14,3.82,3.08,,,,,,,,,,
Craven,WTR,69.28,69.92,70.61,72.71,70.93,,,,,,,,,,
Cumberland,HID,21.3,21.73,24.26,26.66,28.04,,,,,,,,,,
Cumberland,LID,58.3,59.62,62.71,66.22,67.42,,,,,,,,,,
Cumberland,OSD,29.65,30.99,32.58,34.64,35,,,,,,,,,,
Cumberland,GRS,16.63,19.02,17.92,14.99,15.42,,,,,,,,,,
Cumberland,AGR,124.6,126.58,124.08,124.29,124.32,,,,,,,,,,
Cumberland,FOR,198.74,191.46,189.73,189.79,185.57,,,,,,,,,,
Cumberland,SCB,51.96,54.42,52.1,47.64,48.85,,,,,,,,,,
Cumberland,WDW,142.38,138.11,137.53,136.55,136.18,,,,,,,,,,
Cumberland,EMW,4.09,5.04,4.78,4.86,4.91,,,,,,,,,,
Cumberland,BAR,3.86,4.24,5.25,4.91,4.68,,,,,,,,,,
Cumberland,WTR,6.95,7.27,7.52,7.93,8.09,,,,,,,,,,
Currituck,HID,1.84,2.26,2.38,2.39,2.47,,,,,,,,,,
Currituck,LID,7.23,7.48,7.68,8.1,8.3,,,,,,,,,,
Currituck,OSD,4.09,4.62,5.06,6.08,6.2,,,,,,,,,,
Currituck,GRS,1.25,1.13,1.33,1.6,1.64,,,,,,,,,,
Currituck,AGR,78.04,77.78,77.09,76.01,75.72,,,,,,,,,,
Currituck,FOR,16.09,15.92,16.14,15.46,15.45,,,,,,,,,,
Currituck,SCB,3.97,3.94,3.7,3.62,3.51,,,,,,,,,,
Currituck,WDW,98.49,98.3,99.13,98.64,98.96,,,,,,,,,,
Currituck,EMW,43.16,43.02,41.91,42.24,41.93,,,,,,,,,,
Currituck,BAR,4.73,4.47,4.44,4.54,4.54,,,,,,,,,,
Currituck,WTR,266.76,266.74,266.8,266.96,266.93,,,,,,,,,,
Dare,HID,5.65,6.41,6.63,6.83,6.83,,,,,,,,,,
Dare,LID,16.02,16.24,16.29,16.51,16.52,,,,,,,,,,
Dare,OSD,3.81,3.66,3.67,4.09,4.09,,,,,,,,,,
Dare,GRS,1.64,1.7,1.73,1.44,1.44,,,,,,,,,,
Dare,AGR,8,7.98,7.93,7.98,7.82,,,,,,,,,,
Dare,FOR,9.4,9.12,8.93,9.02,9.01,,,,,,,,,,
Dare,SCB,3.21,3.3,3.25,2.93,2.92,,,,,,,,,,
Dare,WDW,236.59,235.6,231.92,232.5,234.19,,,,,,,,,,
Dare,EMW,82.72,83.52,86.89,84.42,84.24,,,,,,,,,,
