County,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007
Alamance,"4,589","4,873","4,980","4,613","4,172","4,498","4,470","4,427","4,426","4,291","4,252","4,013","4,018","3,865","3,556","4,232"
Alexander,904,978,870,847,779,809,827,839,888,836,786,794,693,600,530,573
Alleghany,298,274,271,282,244,285,253,236,200,194,188,186,233,228,199,219
Anson,633,573,576,582,624,650,666,687,642,650,602,587,614,537,416,395
Ashe,626,614,555,605,495,455,476,457,476,509,371,410,391,382,347,458
Avery,370,354,288,271,229,250,258,229,249,250,209,207,232,213,203,189
Beaufort,"5,379","5,387","5,701","5,586","5,080","5,851","5,659","5,884","6,113","6,363","5,942","5,513","5,790","5,919","5,827","7,064"
Bertie,"1,505","1,559","1,513","1,511","1,390","1,509","1,546","1,651","1,770","1,763","1,740","1,724","1,733","1,579","1,544","1,887"
Bladen,"1,625","1,654","1,669","1,603","1,473","1,697","1,728","1,804","1,953","1,979","1,842","1,748","1,711","1,638","1,560","1,746"
Brunswick,"11,660","11,797","11,992","11,267","9,677","10,791","10,643","11,050","11,489","11,826","10,607","10,452","10,923","10,946","10,855","13,010"
Buncombe,"2,504","2,510","2,356","2,073","2,043","2,205","2,048","2,080","2,101","2,090","1,966","1,748","1,756","1,636","1,565","1,836"
Burke,"1,922","1,923","1,917","1,778","1,703","1,920","2,032","2,056","1,847","1,780","1,711","1,664","1,532","1,337","1,130","1,409"
Cabarrus,"3,863","4,085","4,048","3,569","3,439","3,664","3,542","3,553","3,462","3,299","3,066","2,932","2,904","2,917","2,645","3,303"
Caldwell,"2,430","2,364","2,186","2,368","2,240","2,514","2,688","2,542","2,511","2,632","3,059","3,175","2,410","1,801","1,162","1,228"
Camden,928,906,"1,026",804,808,834,831,814,845,885,817,843,820,869,830,960
Carteret,"10,422","10,494","10,862","10,383","8,389","9,943","10,109","10,665","11,187","11,716","11,103","10,717","11,592","10,983","11,393","14,049"
Caswell,786,717,749,704,617,689,667,722,658,670,621,620,575,587,534,607
Catawba,"3,570","3,596","3,538","3,120","3,000","3,198","3,253","3,466","3,484","3,294","3,164","3,013","2,902","2,581","2,171","2,400"
Chatham,"2,160","2,249","2,194","1,984","1,828","1,995","1,909","2,005","1,974","2,035","1,764","1,738","1,798","1,819","1,653","1,979"
Cherokee,265,230,182,211,206,219,264,248,228,242,208,171,140,120,129,95
Chowan,"1,426","1,451","1,341","1,345","1,329","1,322","1,496","1,493","1,599","1,722","1,735","1,742","1,748","1,664","1,568","1,775"
Clay,126,134,150,231,233,220,241,186,99,114,142,119,129,84,56,67
Cleveland,"1,778","1,802","1,709","1,691","1,651","1,727","1,763","1,803","1,872","1,851","1,785","1,637","1,536","1,190",988,"1,158"
Columbus,"2,748","2,984","2,837","2,903","2,667","2,730","2,759","2,863","2,958","3,011","3,027","2,927","2,976","2,856","2,578","2,958"
Craven,"8,968","8,984","9,622","8,888","7,887","9,165","9,223","9,672","9,837","10,149","9,620","9,168","9,522","9,028","9,120","10,077"
Cumberland,"6,903","7,518","7,452","7,000","6,663","7,436","7,366","7,738","7,645","7,630","7,363","7,262","7,389","7,010","6,537","7,978"
Currituck,"2,583","2,606","2,580","2,174","1,986","2,089","1,984","2,063","2,112","2,174","2,008","1,987","1,986","2,090","2,002","2,328"
Dare,"5,940","6,233","6,773","6,010","5,246","5,963","5,549","6,051","6,399","6,721","6,260","6,001","6,286","6,293","6,448","8,008"
Davidson,"5,653","6,002","5,792","5,428","5,069","5,561","5,504","5,584","5,558","5,575","5,150","4,887","5,145","4,745","4,545","5,594"
Davie,"1,543","1,608","1,535","1,362","1,299","1,396","1,493","1,372","1,374","1,336","1,260","1,235","1,284","1,206","1,141","1,386"
Duplin,"3,347","3,631","3,698","3,585","3,107","3,602","3,451","3,637","3,619","3,668","3,565","3,579","3,622","3,445","3,320","3,926"
Durham,"3,946","4,189","4,567","3,968","3,478","4,242","3,924","4,236","4,555","4,073","3,926","3,697","3,631","3,253","3,158","3,702"
Edgecombe,"2,053","2,149","2,271","2,073","2,022","2,242","2,396","2,545","2,486","2,478","2,352","2,200","2,203","2,017","1,870","2,224"
Forsyth,"6,952","7,248","7,523","6,556","6,171","6,894","6,960","6,918","7,039","6,773","6,347","6,189","6,520","6,152","6,019","7,368"
Franklin,"2,277","2,360","2,336","2,107","1,822","2,020","1,783","1,808","1,807","1,807","1,807","1,741","1,726","1,633","1,575","1,825"
Gaston,"4,238","4,241","4,055","4,382","4,116","4,509","4,492","5,143","4,527","4,575","4,768","3,658","3,566","3,423","3,024","3,378"
Gates,593,580,622,537,538,551,573,557,536,572,624,574,545,561,483,634
Graham,74,70,69,90,55,67,88,99,111,89,125,109,78,94,49,57
