Year,Annual Average Flux (kg N/d),Winter Average Flux (kg N/d),Spring Average Flux (kg N/d),Summer Average Flux (kg N/d),Fall Average Flux (kg N/d),Flow Normalized Annual Average Flux (kg N/d),Flow Normalized Winter Average Flux (kg N/d),Flow Normalized Spring Average Flux (kg N/d),Flow Normalized Summer Average Flux (kg N/d),Flow Normalized Fall Average Flux (kg N/d)
1982,10342.84864,15199.25921,11902.87583,6490.160608,7901.62986,10736.45207,14097.52026,13376.34047,6879.724164,8693.984532
1983,12460.76207,16075.97458,20839.92172,4550.978384,8545.843016,10634.296,13884.69198,13307.11784,6854.596639,8590.490718
1984,13191.26824,20413.9201,17740.77551,9284.726198,5453.609414,10560.33603,13716.45954,13252.88375,6831.955852,8503.61749
1985,9357.926564,11247.09255,4860.865786,7619.005034,13696.93062,10479.61517,13555.7431,13214.82085,6817.711005,8426.788554
1986,5541.405087,7813.972659,5719.052474,3785.370608,4898.559199,10425.28912,13438.23478,13195.65211,6805.523085,8357.357966
1987,15436.79604,20403.59344,24805.75105,8380.273155,8367.376823,10391.85523,13359.82258,13207.64645,6800.494755,8294.584589
1988,6015.48273,8103.240912,7240.460929,3646.074611,5108.162474,10412.11999,13347.88709,13269.04127,6813.094068,8281.421511
1989,13851.36034,11208.68607,18490.92148,12529.06473,13169.74964,10534.49198,13435.85946,13474.81414,6908.162831,8414.164723
1990,13764.58009,19028.50361,18314.91545,6173.382404,11705.4122,10758.95651,13683.13822,13789.78685,7035.167563,8624.246374
1991,10545.69853,18336.71355,15074.57588,4488.954752,4501.146779,10978.76336,13980.61312,14104.65465,7140.273435,8788.746914
1992,9719.44437,10211.22021,14117.66747,5612.324354,8989.717609,10897.79859,14082.93562,14002.47264,7029.008326,8545.145287
1993,14138.95644,22047.38478,22624.80147,4314.454107,7833.345195,10484.26205,13594.3649,13466.92983,6805.314424,8170.470284
1994,11051.47028,19199.69082,13379.68845,6847.652409,4981.2914,10157.88628,12985.01606,12988.77148,6674.97302,8075.014391
1995,10054.80276,10674.75559,9032.731486,10884.50253,9629.589204,9971.567895,12431.29587,12722.0713,6640.64703,8175.626509
1996,14842.62913,15674.27154,13260.00246,14917.79367,15510.28597,9803.069827,11858.72478,12480.06424,6645.792672,8279.139462
1997,9965.496086,15462.32125,14033.81411,5190.301692,5339.264339,9686.103982,11318.83463,12201.16352,6713.153659,8574.095867
1998,11448.25987,20462.87701,18255.03024,4314.320283,3030.768533,9699.738713,11213.88243,12163.64065,6756.080012,8725.049468
1999,6627.256465,6812.770507,6320.831332,5815.444616,7560.681611,9586.782263,11116.97036,11999.6395,6645.549874,8644.460985
2000,7107.669174,7985.740427,10497.15099,5897.603534,4096.568194,9761.176974,11236.13797,12231.90695,6747.202448,8872.348474
2001,5810.25696,5353.534489,10025.52645,4930.423659,2967.432644,10227.66547,11801.61485,12930.06935,7034.320751,9208.247169
2002,5032.31359,3025.17365,3207.443558,3584.629984,10248.53815,10755.63242,12519.42919,13740.62471,7314.64268,9518.622075
2003,23407.77467,17403.56759,34344.92038,25509.99184,16360.97466,11272.37927,13367.84454,14519.25339,7504.768793,9778.496049
2004,12616.89703,11785.65315,11802.24918,11704.23969,15157.55596,11677.5609,14340.79696,15115.8923,7567.062166,9752.813559
2005,9890.352821,14074.50547,12011.32693,5682.496133,7907.096653,11806.57332,14821.70382,15357.41129,7586.834371,9564.486192
2006,8564.314419,7578.404344,5661.203551,7360.435111,13604.22629,11835.42519,14978.07211,15458.40156,7601.626492,9411.299176
2007,8378.404218,14949.57396,11593.84055,4073.022437,3074.981837,11832.27591,15064.43926,15530.12433,7597.25787,9247.740614
2008,6338.670763,4183.202657,11909.63448,5061.59351,4237.377357,11852.81823,15181.14932,15612.64669,7594.382642,9100.139472
2009,11508.899,9664.272095,16085.9742,5201.644681,15093.35525,11871.83144,15287.8827,15701.35394,7587.944937,9026.031394
2010,12906.36391,26970.95275,13404.23655,5037.348568,6524.081371,11966.6954,15390.30157,15829.27732,7666.061305,9097.552227
2011,7526.625226,7141.777216,10841.35555,5197.721584,6953.309966,12098.52973,15487.33063,15982.52185,7806.158041,9233.995296
2012,6687.87015,8526.516809,9443.191521,5273.810545,3557.896158,12201.15959,15542.23066,16021.98795,7952.737186,9365.529303
2013,11778.51197,11797.05279,17548.2515,11600.36723,6231.493988,12270.59283,15523.08661,16053.91121,8102.348903,9514.854013
2014,11940.35625,17705.65928,16895.97159,6326.22263,7012.769568,12388.07568,15599.86243,16127.47177,8240.841009,9694.59455
2015,11858.08144,11304.32638,11211.627,6216.395961,18680.9116,12523.43358,15705.76496,16248.91095,8382.217766,9866.516078
2016,16012.7286,27093.56585,18204.73991,8433.720761,10463.15795,12687.773,15862.9941,16399.14235,8520.413454,10043.39634
2017,11309.92375,9311.76408,25421.5378,6207.82306,4408.518904,12840.45562,16014.80373,16560.07705,8664.680197,10231.69975
2018,18911.38866,6560.29138,19264.92736,14209.33653,35346.34007,13017.1692,16214.49198,16723.56451,8808.448794,10431.96542
2019,17153.32922,33109.07241,19531.13851,7098.31159,9247.504109,13202.43137,16433.59689,16887.78467,8954.730074,10643.91476
