Datset File Name:,p1978DuckSeaLevelRiseCB.csv
Dataset Title:,p1978DuckSeaLevelRiseCB
Dataset Author:,Camryn Blawas
Dataset Author Contact:,cblawas@nyelab.org
Data Owner:,NOAA
Data Owner Contact:,
Link to Publically Available Data (if applicable):,https://tidesandcurrents.noaa.gov/sltrends/sltrends_station.shtml?id=8656483
Raw Data Citation,National Data Buoy Center (1971). Meteorological and oceanographic data collected from the National Data Buoy Center Coastal-Marine Automated Network (C-MAN) and moored (weather) buoys. [indicate subset used]. NOAA National Centers for Environmental Information. Dataset. https://www.ncei.noaa.gov/archive/accession/NDBC-CMANWx. Accessed [date].
Link to Code Creating Dataset:,
Variables Generated in Dataset:,
Timeframe of Dataset:,
Data Collection Period,
Geographic Study Area:,
Does dataset include information governed under IRB or HIPAA?,
Comments:,
