Datset File Name:,,p1948AirTemperatureCB.csv
Dataset Title:,,p1948AirTemperatureCB.csv
Dataset Author:,,Camryn Blawas
Dataset Author Contact:,,cblawas@nyelab.org
Data Owner:,,NOAA National Centers for Environmental Information
Data Owner Contact:,,
Link to Publically Available Data (if applicable):,,"https://www.ncei.noaa.gov/access/search/data-search/global-summary-of-the-month?bbox=36.558,-78.459,32.718,-72.361&pageNum=6"
Raw Data Citation,," Lawrimore, Jay H.; Ray, Ron; Applequist, Scott; Korzeniewski, Bryant; Menne, Matthew J. (2016): Global Summary of the Month (GSOM), Version 1. [indicate subset used]. NOAA National Centers for Environmental Information. https://doi.org/10.7289/V5QV3JJ5. [access date]."
Link to Code Creating Dataset:,,https://github.com/Nyelab/NC-Ecosystem-indicators/blob/main/scripts/AirTemperature.Rmd
Variables Generated in Dataset:,,"Year, Airport name where data is collected, temperature in degrees C"
Timeframe of Dataset:,,1948-2020
Data Collection Period,,1948-2020
Geographic Study Area:,,Coastal NC
Does dataset include information governed under IRB or HIPAA?,,No
Comments:,,
