Datset File Name:,p1995duckwindCB.csv
Dataset Title:,p1995duckwindCB
Dataset Author:,Camryn Blawas
Dataset Author Contact:,cblawas@nyelab.org
Data Owner:,NOAA
Data Owner Contact:,
Link to Publically Available Data (if applicable):,https://www.ndbc.noaa.gov/station_page.php?station=dukn7
Raw Data Citation,National Data Buoy Center (1971). Meteorological and oceanographic data collected from the National Data Buoy Center Coastal-Marine Automated Network (C-MAN) and moored (weather) buoys. [indicate subset used]. NOAA National Centers for Environmental Information. Dataset. https://www.ncei.noaa.gov/archive/accession/NDBC-CMANWx. Accessed [date].
Link to Code Creating Dataset:,
Variables Generated in Dataset:,"Maximum gusts in knots, mean gusts in knots, angle in degrees"
Timeframe of Dataset:,1995-2023
Data Collection Period,1995-2023
Geographic Study Area:,"Duck, NC"
Does dataset include information governed under IRB or HIPAA?,No
Comments:,
